,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
11,,Goalpara,"98.00-Pieces, 0.00-Q, 734.00-Pkt","2496.00-Pkt, 0.00-Q",Mosquito Coil-116.00-Pkt; Candle-116.00-Pkt; Match Box-116.00-Pkt; Chira-0.43-Q; Gur-0.04-Q; Gur (Jaggery)-0.17-Q,,,,,,,22-06-2022
12,,Golaghat,0.00-Q,0.00-Q,Tarpaulin-75.00-Pieces,,,,,,,22-06-2022
13,,Hailakandi,"0.00-Q, 546.00-Pkt","0.00-Q, 273.00-Pkt",Sanitary Napkin-262.00-Pkt; Match Box-57.00-Pkt; Disposal Plate-700.00-Pieces; Disposal Glass-700.00-Pieces; Soap-405.00-Pieces; Tarpaulin-333.00-Pieces; Hand Sanitizer-2.00-Pieces; Candle-113.00-Pkt; Mosquito Coil-20.00-Pkt,,,,,,,22-06-2022
14,,Hojai,0.00-Q,0.00-Q,Water bottle-3084.00-L; Candles-98.00-Pkt; Sanitary pads-170.00-Pkt; Amul Taza-658.00-L; Phenyl-186.00-Pieces; Bleaching Powder-186.00-Pkt; Chira-15.00-Q; Gur -3.50-Q; Sanitary Napkin-20.00-Pkt; Water-384.00-L; Candle-72.00-Pkt; Phenyl-12.00-Pkt; Belching Powder-12.00-Pkt; Water Bottle-2568.00-L; Sanitary Pads-110.00-Pkt,,,,,,,22-06-2022
15,,Kamrup,"89.00-Pkt, 0.00-Q","89.00-Pkt, 0.00-Q",Water Pouch-30000.00-Pkt; Tarpaulin-3000.00-Pieces; Chira-13.77-Q; Gur-2.56-Q; Candle-20.00-Pkt; Broom & Floor Wiper-2.00-Pieces; Mosquito Coil-20.00-Pkt; Phenyl-10.00-L; 0-0.00-Q,,,,,,,22-06-2022
16,,Kamrup (M),0.00-Q,0.00-Q,0-0.00-Q,,,,,,,22-06-2022
17,,Karbi Anglong West,0.00-Q,0.00-Q,,,,,,,,22-06-2022
18,,Karimganj,"100.00-Q, 100.00-Pkt",0.00-Q,0-0.00-Q; CANDLE-50.00-Pkt; MOSQUITO COIL-50.00-Pkt,,,,,,,22-06-2022
19,,Kokrajhar,6.40-L,0.00-Q,Horlicks-11.00-Kg,,,,,,,22-06-2022
20,,Lakhimpur,0.00-Q,0.00-Q,Tarpaulin-113.00-Pieces,,,,,,,22-06-2022
21,,Majuli,0.00-Q,0.00-Q,Jaggery (baby food)-556.50-Kg; Flattered rice (baby food)-2226.00-Kg; Tonned milk-5565.00-Pkt; Halogen tab.-4700.00-Pieces; Water Pouch-2000.00-Pkt,,,,,,,22-06-2022
22,,Morigaon,"330.00-ml, 0.00-Q","330.00-Pkt, 0.00-Q",TARPAULIN-6500.00-Pieces; MOSQUITO COIL-3200.00-Pieces; MATCH BOX-3200.00-Q; HAND TUBE WELL-2.00-Q; CHEMICAL PACKETS-1550.00-Q; HALOGEN TABLETS -1640.00-Q,,,,,,,22-06-2022
23,,Nagaon,0.00-Q,0.00-Q,Tarpaulin -276.00-Pieces; HTW-13.00-Pieces; Toilet-19.00-Pieces; 0-0.00-Q; Tarpulin-5000.00-Pieces; Poha (Chira)-70.00-Q; Jaggery (Gur)(50 Gram)-22905.00-Pkt,,,,,,,22-06-2022
24,,Nalbari,0.00-Q,"23.00-Q, 160.00-Pkt",Tarpaulin -985.00-Pkt; Tarpaulin-1775.00-Pkt; M. Coil-720.00-Pkt; Candle-1440.00-Pkt; Match Box-1200.00-Pkt; Phenyl-500.00-L; Bleaching Powder-500.00-Pkt; CONCENTRATE CATTLE FEED-145.00-Q,,,,,,,22-06-2022
25,,Sivasagar,0.00-Q,0.00-Q,Chemical Pkt-350.00-Pkt; Halogen /NADDC tablet -500.00-Pieces,,,,,,,22-06-2022
26,,Sonitpur,0.00-Q,0.00-Q,,,,,,,,22-06-2022
27,,South Salmara,0.00-Q,,0.00-Q,Candle-62.00-Pkt; Hand Tuebwell-66.00-Pieces; Tarpaoulin-3019.00-Pieces,,,,,,22-06-2022
28,,Tamulpur,0.00-Q,,"0.00-Q, 50.00-Kg",Tarpaulin -5625.00-Pieces; 0-0.00-Q,,,,,,22-06-2022
29,,Udalguri,"0.00-Q, 600.00-Pkt",,200.00-Q,Sanitary Pad-344.00-Pkt; Tarpaulin -200.00-Pieces; Daipers-500.00-Pieces; candles-1250.00-Pkt; match box-1250.00-Pkt; milk-600.00-Pkt; biscuits-4000.00-Pkt; Hair oil-1000.00-Pkt; Mineral water-4500.00-ml; tooth paste-1500.00-Pieces; sanitary pad-700.00-Pieces; baby diapers-600.00-Pieces; mosquito net-1000.00-Pieces; Blanket-720.00-Pieces; dettol soap-4000.00-Pieces,,,,,,22-06-2022
