,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
11,,Dima-Hasao,0.00-Q,,15.00-Pkt,Haldi-100.00-Pkt; Milk-100.00-L; Potato-500.00-Kg; Onion-100.00-Kg; Biscuit-700.00-Pkt; Candle-300.00-Pkt; Match Box-100.00-Pkt; Mosquito Repellent-200.00-Pkt; Bathing Soap-100.00-Pieces; Phenyl-50.00-Pieces; Dettol Liquid-100.00-Pieces,,,,,,19-06-2022
12,,Goalpara,0.00-Q,,0.00-Q,0-0.00-Q,,,,,,19-06-2022
13,,Golaghat,0.00-Q,,0.00-Q,Sanitary napkin-40.00-Pkt; Candle-90.00-Pkt; M Coil-120.00-Pieces; Matchbox-20.00-Pkt,,,,,,19-06-2022
14,,Hailakandi,290.00-Pkt,,94.00-Pkt,Sanitary Napkin-105.00-Pkt; Candle-65.00-Pkt; Match box-26.00-Pkt,,,,,,19-06-2022
15,,Hojai,0.00-Q,,0.00-Q,Tarpualin-340.00-Pieces; Water Bottle-3120.00-L; Sanitary pad-75.00-Pkt; Candle-130.00-Pkt; Chira-27.00-Q; Gur-4.50-Q; Amul Taza-336.00-L; Biscuit-324.00-Pkt; Sanitary Pad-65.00-Pkt; Phenyl-5.00-Pieces; Bleaching Powder-5.00-Pkt,,,,,,19-06-2022
16,,Kamrup,"335.00-Pkt, 0.00-Q",,"335.00-Pkt, 0.00-Q",Tarpaulin-800.00-Pieces; 00-0.00-Q; 1. Water Bottle 2. Sanitary Napkins-1500.00-Pkt; Wheat bran-564.00-Q,,,,,,19-06-2022
17,,Kamrup (M),0.00-Q,,0.00-Q,Watter -630.00-L; Bread-105.00-Pkt; Biscuit-105.00-Pkt; Tarpoulin-20.00-Pieces,,,,,,19-06-2022
18,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,19-06-2022
19,,Karimganj,"50.00-Pkt, 100.00-Q",,0.00-Q,Biscuit-50.00-Pkt; Mosquito Coil-15.00-Pkt; Candle-20.00-Pkt; Napkin-30.00-Pkt; Chira-4.00-Q; Gur-1.00-Q; 0-0.00-Q,,,,,,19-06-2022
20,,Kokrajhar,"0.00-Q, 0.00-Pkt",,"0.00-Q, 248.00-Pkt",Chemical Packets-270.00-Pkt; Halogen Tablets-2300.00-Pieces; Biscuit-7650.00-Pkt; Candle-1507.00-Pkt; Match Box-153.00-Pkt; 0-0.00-Q,,,,,,19-06-2022
21,,Lakhimpur,0.00-Q,,"0.00-Q, 138.00-Pkt",Taurpalin-1055.00-Pieces; Tarpaulin-135.00-Pieces; Concentrate Feed (Cattle Feed)-16.50-Q; Concentrated cattle feed Godrej Supreme-50.50-Q,,,,,,19-06-2022
22,,Nagaon,"1534.00-Pkt, 0.00-Q",,"1534.00-Pkt, 0.00-Q",M.Coil-160.00-Pkt; Candle-546.00-Pkt; Sanitary Napkin-100.00-Pkt; Mosquito Coil-226.00-Pkt; Bleaching Powder-10.00-Pkt; Halogen Tablet-1200.00-Pkt; M. Coil-150.00-Pkt; Match Box-40.00-Pkt,,,,,,19-06-2022
23,,Nalbari,0.00-Q,,"0.00-Q, 140.00-Pkt",Wheat Bran -2048.00-Q; wheat bran-282.00-Q,,,,,,19-06-2022
24,,Sivasagar,0.00-Q,,0.00-Q,0-0.00-Q,,,,,,19-06-2022
25,,Sonitpur,0.00-Q,,0.00-Q,,,,,,,19-06-2022
26,,South Salmara,0.00-Q,,0.00-Q,Biskut -122.00-Pkt; Amul-366.00-ml; Sanitary Napkin -117.00-Pkt; Phenyle-135.00-Pieces; B/Powder -270.00-Pkt; Candal-231.00-Pkt; Match-77.00-Pkt; Dasbin-7.00-Pieces,,,,,,19-06-2022
27,,Tamulpur,0.00-Kg,,297.50-Kg,wheat bran-10222.00-Kg,,,,,,19-06-2022
28,,Tinsukia,0.00-Q,,0.00-Q,,,,,,,19-06-2022
29,,Udalguri,"0.00-Q, 202.00-Pkt",,"0.00-Q, 131.00-Pkt",Sanitary Pad-2758.00-Pkt; Tarpaulin-360.00-Pieces; Blanket-300.00-Pieces; Baby Food-150.00-Pkt; Mosquito Net-300.00-Pkt; Rice Bran-454.00-Q,,,,,,19-06-2022
