,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
19,,Karimganj,"551.00-Pkt, 0.00-Q",,"162.00-Pkt, 100.00-Q",SANITARY NAPKIN-122.00-Pkt; MOSQUITO COIL-60.00-Pkt; BLEACHING POWDER-60.00-Pkt; MATCHBOX-180.00-Pieces; Mosquito Coil-28.00-Pkt; Candle-60.00-Pkt; Water Purification Tablet-13875.00-Pieces; Chemical-4390.00-Pkt; Water Pouch-2585.00-Pkt; 0-0.00-Q,,,,,,23-06-2022
20,,Lakhimpur,0.00-Q,,0.00-Q,Tarpaulin -2422.00-Pieces,,,,,,23-06-2022
21,,Majuli,0.00-Q,,0.00-Q,Chemical packets-500.00-Pkt; Halogen tab-3500.00-Pieces; Jaggery (Baby food)-51.30-Kg; Flattened Rice (Baby food)-205.20-Kg; Tonned milk (Baby food)-513.00-Pkt,,,,,,23-06-2022
22,,Morigaon,0.00-Q,,0.00-Q,HTW -30.00-Pieces; WATER PACKETS -1000.00-Q; CHEMICAL PACKETS -1200.00-Q; Tarpaulin -78.00-Pieces,,,,,,23-06-2022
23,,Nagaon,0.00-Q,,0.00-Q,Tarpaulin -1000.00-Pieces; Tarpulin-1000.00-Pieces,,,,,,23-06-2022
24,,Nalbari,"0.00-Q, 216.00-Pkt",,0.00-Q,,,,,,,23-06-2022
25,,Sonitpur,0.00-Q,,0.00-Q,,,,,,,23-06-2022
26,,South Salmara,0.00-Q,,0.00-Q,Tarpaulin -30.00-Pieces,,,,,,23-06-2022
27,,Tamulpur,0.00-Q,,0.00-Q,,,,,,,23-06-2022
28,,Tinsukia,0.00-Q,,0.00-Q,0-0.00-Q,,,,,,23-06-2022
29,,Udalguri,0.00-Q,,"305.00-Pkt, 0.00-Q",Sanitary Pad -1474.00-Pkt; Candles & Match Sticks-245.00-Pkt; Mosquito Coil-267.00-Pkt; Disposal Plates & Glass-190.00-Pkt; Soap-1030.00-Q; Water Bottle-230.00-Pkt; Phenyl-65.00-Pieces; Mask & Sanitizer-2650.00-Pieces; Biscuit-120.00-Pkt; Tarpaulin-372.00-Pieces; candle-90.00-Pkt; sanitary pads-248.00-Pkt; Matches box-8.00-Pkt; tarpaulin-1070.00-Pieces; Blanket-1219.00-Pieces; Tarpauline-346.00-Pieces,,,,,,23-06-2022
