District,STATE,TEHSIL,Shape_Leng,Shape_Area,mean,count
SHIMLA,HIMACHAL PRADESH,ROHRU,84189.2264768,295446866.188,0.7395345195484582,5675
SHIMLA,HIMACHAL PRADESH,SHIMLA,155178.789862,488257032.257,0.5265117245814672,9378
SHIMLA,HIMACHAL PRADESH,SUNI,112210.79146,235636947.4,0.7230707012266677,4527
SHIMLA,HIMACHAL PRADESH,THEOG,137021.448691,466732347.302,0.6641356061001951,8970
SIRMAUR,HIMACHAL PRADESH,DADAHU,68582.8917859,128608025.082,0.15731885896089307,2462
SIRMAUR,HIMACHAL PRADESH,KAMRAU,136620.96044,171350491.554,0.23542054494222006,3264
SIRMAUR,HIMACHAL PRADESH,N>HAN,261002.064083,283351911.946,0.38279759855303797,5423
SIRMAUR,HIMACHAL PRADESH,NOHRA,79530.5846614,178959204.936,0.27114746736601264,3418
SIRMAUR,HIMACHAL PRADESH,PACHH>D,109219.802142,380926846.822,0.5017392928713346,7298
SIRMAUR,HIMACHAL PRADESH,R >JGARH,98037.471877,178556218.442,0.5142335123887836,3428
SIRMAUR,HIMACHAL PRADESH,RANHOT,86114.7321399,192234215.689,0.6933864869692433,3674
SIRMAUR,HIMACHAL PRADESH,RENUKA,104518.823706,289516350.082,0.31557012548371133,5556
SIRMAUR,HIMACHAL PRADESH,SHAL>I,93720.6680184,237306828.964,0.4665642550130926,4535
SOLAN,HIMACHAL PRADESH,ARKI,121094.81055,376340973.577,0.6764556846771683,7229
SOLAN,HIMACHAL PRADESH,BADDI,103517.758819,254045135.644,0.6701807832043264,4877
SOLAN,HIMACHAL PRADESH,KAND>GH>T,119379.90387,222080196.312,0.5940812802252889,4239
SOLAN,HIMACHAL PRADESH,KASAULI,105340.572049,162100972.317,0.6345900357884027,3102
SOLAN,HIMACHAL PRADESH,KRISHANGARH,66506.2710773,111193936.985,0.7495654456742575,2138
SOLAN,HIMACHAL PRADESH,N>L>GARH,116294.177847,331453478.715,0.680786574192344,6361
SOLAN,HIMACHAL PRADESH,RAMSHAHR,76077.051426,180009370.191,0.7262580489338981,3453
SOLAN,HIMACHAL PRADESH,SOLAN,140930.496452,252718397.213,0.6097906568221559,4861
UNA,HIMACHAL PRADESH,AMB,142927.753418,325915719.284,0.6625303580853649,6276
UNA,HIMACHAL PRADESH,BANG>NA,128647.900211,408670254.79,0.5147109454375158,7874
UNA,HIMACHAL PRADESH,GHANURI,119270.080686,252238724.434,0.5356390511577173,4856
UNA,HIMACHAL PRADESH,HAROLI,99732.14364,302006527.22,0.6098954913290131,5806
UNA,HIMACHAL PRADESH,UNA,90436.195535,221043454.814,0.6379477251838235,4250
SIRMAUR,HIMACHAL PRADESH,P>ONTA S>HIB,443148.603776,714515939.347,0.5475879833592038,13690
KINNAUR,HIMACHAL PRADESH,HANGRANG,126162.028723,500217415.299,,0
KINNAUR,HIMACHAL PRADESH,MORANG,286156.57041,1751222127.85,0.0741382445827025,6605
KINNAUR,HIMACHAL PRADESH,PUH,212682.456325,1217420153.58,,0
KINNAUR,HIMACHAL PRADESH,SANGLA,280578.80565,1424895966.45,0.09555876928849696,16011
L>HUL & SPITI,HIMACHAL PRADESH,SPITI,616229.261354,7115968753.93,,0
