,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
10,,Goalpara,0,0,0,0,"( Lakhipur | 0 ), ( Balijana | 0 ), ( Rongjuli | 0 ), ( Matia | 0 )",13900.00,"( Lakhipur | 8483.00 ), ( Balijana | 2408.00 ), ( Rongjuli | 487.00 ), ( Matia | 2522.00 )",,,21-05-2022
11,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",51.00,"( Bokakhat | 25.00 ), ( Khumtai | 26.00 )",,,21-05-2022
12,,Hailakandi,35,37,7,79,( Algapur | 79 ),0.00,( Algapur | 0.00 ),,,21-05-2022
13,,Hojai,36587,25952,7694,70233,"( Lanka | 2334 ), ( Hojai | 14639 ), ( Doboka | 53260 )",3949.00,"( Lanka | 650.00 ), ( Hojai | 2051.00 ), ( Doboka | 1248.00 )",,,21-05-2022
14,,Jorhat,0,0,0,0,( Jorhat East | 0 ),35.00,( Jorhat East | 35.00 ),,,21-05-2022
15,,Kamrup,8,7,4,19,"( Chaygaon | 0 ), ( Nagarbera | 0 ), ( Chamaria | 0 ), ( Goroimari | 0 ), ( Hajo | 0 ), ( Kayan | 0 ), ( Boko | 0 ), ( Kamalpur | 0 ), ( Rangia | 19 )",4907.98,"( Chaygaon | 62.00 ), ( Nagarbera | 1209.00 ), ( Chamaria | 1829.50 ), ( Goroimari | 559.00 ), ( Hajo | 988.98 ), ( Kayan | 99.00 ), ( Boko | 69.00 ), ( Kamalpur | 44.00 ), ( Rangia | 47.50 )",,,21-05-2022
16,,Kamrup (M),0,0,0,0,"( Chandrapur | 0 ), ( Sonapur | 0 )",1158.00,"( Chandrapur | 826.00 ), ( Sonapur | 332.00 )",,,21-05-2022
17,,Karbi Anglong West,660,678,761,2099,( Donkamokam | 2099 ),0.00,( Donkamokam | 0.00 ),,,21-05-2022
18,,Karimganj,7144,5074,4164,16382,"( Karimganj | 10996 ), ( Badarpur | 5386 )",3.30,"( Karimganj | 0.00 ), ( Badarpur | 3.30 )",,,21-05-2022
19,,Kokrajhar,0,0,0,0,( Bagribari | 0 ),69.38,( Bagribari | 69.38 ),,,21-05-2022
20,,Lakhimpur,1000,658,207,1865,"( Subansiri | 40 ), ( North Lakhimpur | 1825 ), ( Narayanpur | 0 ), ( Bihpuria | 0 )",1210.40,"( Subansiri | 227.90 ), ( North Lakhimpur | 0.00 ), ( Narayanpur | 570.50 ), ( Bihpuria | 412.00 )",,,21-05-2022
21,,Majuli,0,0,0,0,"( Ujani Majuli | 0 ), ( Majuli | 0 )",151.43,"( Ujani Majuli | 33.25 ), ( Majuli | 118.18 )",,,21-05-2022
22,,Morigaon,7055,6125,4596,17776,"( Morigaon | 17776 ), ( Mayong | 0 )",11238.63,"( Morigaon | 3429.63 ), ( Mayong | 7809.00 )",,,21-05-2022
23,,Nagaon,146165,132534,60728,339427,"( Kampur | 237158 ), ( Raha | 82164 ), ( Nagaon | 20105 )",14263.87,"( Kampur | 5600.00 ), ( Raha | 5354.87 ), ( Nagaon | 3309.00 )",,,21-05-2022
24,,Nalbari,270,185,42,497,"( Barbhag | 0 ), ( Nalbari | 0 ), ( Barkhetri | 0 ), ( Ghograpar | 0 ), ( Tihu | 0 ), ( Paschim Nalbari | 497 )",3798.60,"( Barbhag | 270.00 ), ( Nalbari | 168.60 ), ( Barkhetri | 3075.00 ), ( Ghograpar | 88.00 ), ( Tihu | 36.00 ), ( Paschim Nalbari | 161.00 )",,,21-05-2022
25,,Sivasagar,0,0,0,0,( Sonari RC part | 0 ),7.60,( Sonari RC part | 7.60 ),,,21-05-2022
26,,Sonitpur,220,195,67,482,"( Naduar | 332 ), ( Dhekiajuli | 0 ), ( Chariduar | 150 ), ( Tezpur | 0 )",1099.10,"( Naduar | 92.00 ), ( Dhekiajuli | 905.10 ), ( Chariduar | 0.00 ), ( Tezpur | 102.00 )",,,21-05-2022
27,,South Salmara,0,0,0,0,"( Mankachar | 0 ), ( South Salmara | 0 )",243.00,"( Mankachar | 140.00 ), ( South Salmara | 103.00 )",,,21-05-2022
28,,Tinsukia,0,0,0,0,( Doomdooma | 0 ),,15.00,( Doomdooma | 15.00 ),,21-05-2022
29,,Udalguri,243,141,29,413,"( Harisinga | 0 ), ( Kalaigaon | 0 ), ( Udalguri | 413 )",,0.00,"( Harisinga | 0.00 ), ( Kalaigaon | 0.00 ), ( Udalguri | 0.00 )",,21-05-2022
30,,Total,305254,229738,145126,680118,,,93562.40,,,21-05-2022
