,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
15,,Kamrup,199419,515011,75066,789496,"( Rangia | 48700 ), ( Kamalpur | 146310 ), ( Kayan | 38122 ), ( Chaygaon | 0 ), ( Nagarbera | 0 ), ( Chamaria | 0 ), ( Hajo | 532240 ), ( Goroimari | 0 ), ( North Ghy | 21625 ), ( Palashbari | 2499 )",4238.50,"( Rangia | 798.50 ), ( Kamalpur | 694.00 ), ( Kayan | 407.00 ), ( Chaygaon | 144.00 ), ( Nagarbera | 245.00 ), ( Chamaria | 117.50 ), ( Hajo | 690.00 ), ( Goroimari | 700.00 ), ( North Ghy | 175.00 ), ( Palashbari | 267.50 )",,,22-06-2022
16,,Kamrup (M),3095,2501,50,5646,"( Azara | 0 ), ( Chandrapur | 0 ), ( Sonapur | 5646 )",860.00,"( Azara | 0.00 ), ( Chandrapur | 173.00 ), ( Sonapur | 687.00 )",,,22-06-2022
17,,Karbi Anglong West,1225,1225,1334,3784,( Donkamokam | 3784 ),0.00,( Donkamokam | 0.00 ),,,22-06-2022
18,,Karimganj,137561,107947,35763,281271,"( Nilambazar | 62368 ), ( Badarpur | 42960 ), ( Patherkandi | 4732 ), ( RK Nagar | 51140 ), ( Karimganj | 120071 )",1562.50,"( Nilambazar | 914.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 348.50 ), ( RK Nagar | 300.00 ), ( Karimganj | 0.00 )",,,22-06-2022
19,,Lakhimpur,15663,12609,11570,39842,"( Narayanpur | 0 ), ( Nowboicha | 30000 ), ( North Lakhimpur | 2789 ), ( Subansiri | 844 ), ( Bihpuria | 5475 ), ( Dhakuakhana | 734 )",833.60,"( Narayanpur | 0.00 ), ( Nowboicha | 239.60 ), ( ",,,22-06-2022
20,,Majuli,2942,2468,3569,8979,"( Majuli | 8979 ), ( Ujani Majuli | 0 )",,184.45,"( Majuli | 169.26 ), ( Ujani Majuli | 15.19 )",,22-06-2022
21,,Morigaon,43684,41529,28106,113319,"( Mayong | 3774 ), ( Bhuragaon | 39292 ), ( Morigaon | 68391 ), ( Mikirbheta | 1862 ), ( Laharighat | 0 )",,15792.50,"( Mayong | 14000.00 ), ( Bhuragaon | 832.00 ), ( Morigaon | 952.00 ), ( Mikirbheta | 0.00 ), ( Laharighat | 8.50 )",,22-06-2022
22,,Nagaon,178456,167646,157348,503450,"( Nagaon | 97767 ), ( Kampur | 259500 ), ( Samaguri | 5287 ), ( Raha | 140715 ), ( Kaliabor | 181 ), ( Rupahi | 0 ), ( Dhing | 0 )",,16872.51,"( Nagaon | 218.00 ), ( Kampur | 8320.00 ), ( Samaguri | 225.00 ), ( Raha | 7941.51 ), ( Kaliabor | 18.00 ), ( Rupahi | 43.00 ), ( Dhing | 107.00 )",,22-06-2022
23,,Nalbari,128247,118674,106815,353736,"( Tihu | 3570 ), ( Paschim Nalbari | 47429 ), ( Ghograpar | 4180 ), ( Barbhag | 21000 ), ( Banekuchi | 480 ), ( Nalbari | 12500 ), ( Barkhetri | 264577 )",,2061.50,"( Tihu | 200.00 ), ( Paschim Nalbari | 554.00 ), ( Ghograpar | 718.00 ), ( Barbhag | 200.00 ), ( Banekuchi | 8.00 ), ( Nalbari | 381.50 ), ( Barkhetri | 0.00 )",,22-06-2022
24,,Sivasagar,230,210,47,487,( Sivsagar | 487 ),,20.00,( Sivsagar | 20.00 ),,22-06-2022
25,,Sonitpur,7963,11047,7419,26429,"( Dhekiajuli | 21140 ), ( Thelamara | 336 ), ( Chariduar | 4300 ), ( Tezpur | 653 )",,1619.00,"( Dhekiajuli | 1424.00 ), ( Thelamara | 0.00 ), ( Chariduar | 0.00 ), ( Tezpur | 195.00 )",,22-06-2022
26,,South Salmara,56230,51232,62745,170207,"( South Salmara | 139183 ), ( Mankachar | 31024 )",,891.00,"( South Salmara | 692.00 ), ( Mankachar | 199.00 )",,22-06-2022
27,,Tamulpur,5722,5449,1540,12711,"( Goreswar | 12571 ), ( Tamulpur | 140 )",,200.00,"( Goreswar | 0.00 ), ( Tamulpur | 200.00 )",,22-06-2022
28,,Tinsukia,620,429,289,1338,( Doomdooma | 1338 ),,28.00,( Doomdooma | 28.00 ),,22-06-2022
29,,Udalguri,3860,2716,1409,7985,"( Udalguri | 1742 ), ( Harisinga | 2 ), ( Mazbat | 6050 ), ( Khairabari | 154 ), ( Kalaigaon | 37 )",,11.34,"( Udalguri | 0.00 ), ( Harisinga | 1.34 ), ( Mazbat | 0.00 ), ( Khairabari | 0.00 ), ( Kalaigaon | 10.00 )",,22-06-2022
30,,Total,2092188,2198194,1167219,5457601,,,99026.00,,,22-06-2022
