,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
10,,Dibrugarh,1567,1240,1050,3857,( Chabua | 3857 ),2.50,( Chabua | 2.50 ),,,20-06-2022
11,,Goalpara,135673,102667,41808,280148,"( Balijana | 99311 ), ( Matia | 9408 ), ( Lakhipur | 171429 ), ( Rongjuli | 0 )",1381.50,"( Balijana | 762.50 ), ( Matia | 614.00 ), ( Lakhipur | 0.00 ), ( Rongjuli | 5.00 )",,,20-06-2022
12,,Golaghat,11878,10977,3677,26532,"( Bokakhat | 26532 ), ( Khumtai | 0 )",106.00,"( Bokakhat | 80.00 ), ( Khumtai | 26.00 )",,,20-06-2022
13,,Hailakandi,8477,6986,2560,18023,"( Lala | 5500 ), ( Algapur | 6510 ), ( Hailakandi | 5150 ), ( Katlicherra | 863 )",76.00,"( Lala | 13.00 ), ( Algapur | 31.00 ), ( Hailakandi | 19.00 ), ( Katlicherra | 13.00 )",,,20-06-2022
14,,Hojai,44689,34179,10930,89798,"( Lanka | 10757 ), ( Doboka | 27378 ), ( Hojai | 51663 )",2349.00,"( Lanka | 815.00 ), ( Doboka | 436.00 ), ( Hojai | 1098.00 )",,,20-06-2022
15,,Kamrup,146778,96911,38555,282244,"( Rangia | 82230 ), ( Kayan | 38122 ), ( Chamaria | 0 ), ( Chaygaon | 0 ), ( Kamalpur | 20972 ), ( Goroimari | 0 ), ( Hajo | 121438 ), ( Palashbari | 590 ), ( North Ghy | 18892 )",3601.90,"( Rangia | 798.50 ), ( Kayan | 407.00 ), ( Chamaria | 95.50 ), ( Chaygaon | 144.00 ), ( Kamalpur | 468.90 ), ( Goroimari | 600.00 ), ( Hajo | 620.00 ), ( Palashbari | 208.50 ), ( North Ghy | 259.50 )",,,20-06-2022
16,,Kamrup (M),4718,3431,491,8640,"( Guwahati | 759 ), ( Sonapur | 5050 ), ( Chandrapur | 0 ), ( Azara | 981 ), ( Dispur | 1850 )",436.50,"( Guwahati | 0.00 ), ( Sonapur | 109.50 ), ( Chandrapur | 0.00 ), ( Azara | 327.00 ), ( Dispur | 0.00 )",,,20-06-2022
17,,Karbi Anglong West,3605,3605,4878,12088,( Donkamokam | 12088 ),2.40,( Donkamokam | 2.40 ),,,20-06-2022
18,,Karimganj,71565,43721,18579,133865,"( RK Nagar | 38425 ), ( Badarpur | 26920 ), ( Patherkandi | 7751 ), ( Karimganj | 17569 ), ( Nilambazar | 43200 )",290.00,"( RK Nagar | 290.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 0.00 ), ( Karimganj | 0.00 ), ( Nilambazar | 0.00 )",,,20-06-2022
19,,Kokrajhar,9164,8419,5301,22884,"( Bhawraguri | 0 ), ( Gossaigaon | 0 ), ( Bagribari | 22884 )",284.49,"( Bhawraguri | 0.00 ), ( Gossaigaon | 0.00 ), ( Bagribari | 284.49 )",,,20-06-2022
20,,Lakhimpur,43743,30846,21629,96218,"( Narayanpur | 0 ), ( Nowboicha | 43094 ), ( North Lakhimpur | 28818 ), ( Bihpuria | 17756 ), ( Dhakuakhana | 1358 ), ( Kadam | 0 ), ( Subansiri | 5192 )",1474.30,"( Narayanpur | 0.00 ), ( Nowboicha | 1040.30 ), ( North Lakhimpur | 165.00 ), ( Bihpuria | 0.00 ), ( Dhakuakhana | 50.00 ), ( Kadam | 51.00 ), ( Subansiri | 168.00 )",,,20-06-2022
21,,Majuli,5765,5025,6607,17397,"( Ujani Majuli | 0 ), ( Majuli | 17397 ) ",819.78,"( Ujani Majuli | 230.42 ), ( Majuli | ",,,20-06-2022
22,,Morigaon,32798,30504,20036,83338,"( Morigaon | 56587 ), ( Bhuragaon | 26751 ), ( Mayong | 0 ), ( Laharighat | 0 )",,10592.00,"( Morigaon | 770.00 ), ( Bhuragaon | 721.00 ), ( Mayong | 9000.00 ), ( Laharighat | 101.00 )",,20-06-2022
23,,Nagaon,153567,141794,144774,440135,"( Nagaon | 44238 ), ( Raha | 130046 ), ( Samaguri | 5844 ), ( Kampur | 259500 ), ( Rupahi | 0 ), ( Dhing | 0 ), ( Kaliabor | 507 )",,15814.57,"( Nagaon | 152.00 ), ( Raha | 7047.57 ), ( Samaguri | 252.00 ), ( Kampur | 7835.00 ), ( Rupahi | 160.00 ), ( Dhing | 328.00 ), ( Kaliabor | 40.00 )",,20-06-2022
24,,Nalbari,80711,70695,33032,184438,"( Ghograpar | 34928 ), ( Tihu | 30369 ), ( Paschim Nalbari | 48121 ), ( Banekuchi | 27760 ), ( Barbhag | 11500 ), ( Nalbari | 12500 ), ( Barkhetri | 19260 )",,6176.10,"( Ghograpar | 718.00 ), ( Tihu | 367.00 ), ( Paschim Nalbari | 554.00 ), ( Banekuchi | 111.00 ), ( Barbhag | 83.50 ), ( Nalbari | 338.10 ), ( Barkhetri | 4004.50 )",,20-06-2022
25,,Sivasagar,2846,2752,694,6292,"( Sivsagar | 6292 ), ( Demow | 0 )",,56.00,"( Sivsagar | 40.00 ), ( Demow | 16.00 )",,20-06-2022
26,,Sonitpur,27888,25581,27747,81216,"( Naduar | 0 ), ( Chariduar | 59814 ), ( Thelamara | 4954 ), ( Dhekiajuli | 12228 ), ( Tezpur | 4220 )",,3802.30,"( Naduar | 66.00 ), ( Chariduar | 0.00 ), ( Thelamara | 656.00 ), ( Dhekiajuli | 2347.70 ), ( Tezpur | 732.60 )",,20-06-2022
27,,South Salmara,52511,47815,50827,151153,"( South Salmara | 139183 ), ( Mankachar | 11970 )",,405.00,"( South Salmara | 0.00 ), ( Mankachar | 405.00 )",,20-06-2022
28,,Tamulpur,9535,9029,2015,20579,"( Tamulpur | 2558 ), ( Goreswar | 18021 )",,1710.00,"( Tamulpur | 400.00 ), ( Goreswar | 1310.00 )",,20-06-2022
29,,Tinsukia,4199,3675,3008,10882,"( Doomdooma | 6361 ), ( Tinsukia | 4521 )",,1453.53,"( Doomdooma | 185.20 ), ( Tinsukia | 1268.33 )",,20-06-2022
30,,Udalguri,11193,8221,6598,26012,"( Udalguri | 9515 ), ( Khairabari | 836 ), ( Mazbat | 382 ), ( Kalaigaon | 12606 ), ( Harisinga | 2673 )",,809.94,"( Udalguri | 0.00 ), ( Khairabari | 48.00 ), ( Mazbat | 475.44 ), ( Kalaigaon | 246.50 ), ( Harisinga | 40.00 )",,20-06-2022
31,,Total,2019282,1709476,1043382,4772140,,,113485.37,,,20-06-2022
