,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
10,,Goalpara,15661,12601,3802,32064,"( Matia | 0 ), ( Rongjuli | 0 ), ( Lakhipur | 20723 ), ( Balijana | 11341 )",348.00,"( Matia | 195.00 ), ( Rongjuli | 0.00 ), ( Lakhipur | 0.00 ), ( Balijana | 153.00 )",,,26-06-2022
11,,Golaghat,1288,798,232,2318,"( Bokakhat | 2318 ), ( Khumtai | 0 )",63.00,"( Bokakhat | 50.00 ), ( Khumtai | 13.00 )",,,26-06-2022
12,,Hailakandi,18067,15135,9771,42973,"( Hailakandi | 1324 ), ( Lala | 0 ), ( Algapur | 41649 )",0.00,"( Hailakandi | 0.00 ), ( Lala | 0.00 ), ( Algapur | 0.00 )",,,26-06-2022
13,,Hojai,325,163,67,555,"( Lanka | 0 ), ( Hojai | 555 ), ( Doboka | 0 )",27.00,"( Lanka | 0.00 ), ( Hojai | 27.00 ), ( Doboka | 0.00 )",,,26-06-2022
14,,Kamrup,105811,61901,31794,199506,"( Chamaria | 0 ), ( Hajo | 179600 ), ( Kamalpur | 253 ), ( Chaygaon | 0 ), ( Rangia | 6531 ), ( Kayan | 50 ), ( Palashbari | 0 ), ( North Ghy | 13072 )",2782.70,"( Chamaria | 75.20 ), ( Hajo | 790.00 ), ( Kamalpur | 1045.00 ), ( Chaygaon | 33.00 ), ( Rangia | 350.00 ), ( Kayan | 344.50 ), ( Palashbari | 46.00 ), ( North Ghy | 99.00 )",,,26-06-2022
15,,Kamrup (M),745,575,0,1320,"( Chandrapur | 0 ), ( Sonapur | 1320 )",899.50,"( Chandrapur | 173.00 ), ( Sonapur | 726.50 )",,,26-06-2022
16,,Karbi Anglong West,533,533,511,1577,( Donkamokam | 1577 ),0.00,( Donkamokam | 0.00 ),,,26-06-2022
17,,Karimganj,73609,52786,28956,155351,"( Badarpur | 35711 ), ( Nilambazar | 40651 ), ( Patherkandi | 305 ), ( RK Nagar | 39140 ), ( Karimganj | 39544 )",3500.00,"( Badarpur | 0.00 ), ( Nilambazar | 0.00 ), ( Patherkandi | 0.00 ), ( RK Nagar | 3500.00 ), ( Karimganj | 0.00 )",,,26-06-2022
18,,Lakhimpur,5210,3860,3630,12700,"( North Lakhimpur | 385 ), ( Nowboicha | 10430 ), ( Bihpuria | 0 ), ( Subansiri | 1885 )",513.00,"( North Lakhimpur | 0.00 ), ( Nowboicha | 0.00 ), ( Bihpuria | 0.00 ), ( Subansiri | 513.00 )",,,26-06-2022
19,,Morigaon,36737,33255,19585,89577,"( Mikirbheta | 10448 ), ( Mayong | 5941 ), ( Morigaon | 70742 ), ( Bhuragaon | 2446 )",11351.00,"( Mikirbheta | 436.00 ), ( Mayong | 8620.00 ), ( Morigaon | 1715.00 ), ( Bhuragaon | 580.00 )",,,26-06-2022
20,,Nagaon,182143,171142,159493,512778,"( Raha | 151988 ), ( Nagaon | 102790 ), ( Kampur | 258000 )",18857.82,"( Raha | 9997.82 ), ( Nagaon | 610.00 ), ( Kampur | 8250.00 )",,,26-06-2022
21,,Nalbari,13693,12292,5588,31573,"( Paschim Nalbari | 22199 ), ( Barbhag | 8956 ), ( Tihu | 418 )",743.00,"( Paschim Nalbari | 554.00 ), ( Barbhag | 139.00 ), ( Tihu | 50.00 )",,,26-06-2022
22,,Sonitpur,865,1388,722,2975,( Dhekiajuli | 2975 ),419.00,( Dhekiajuli | 419.00 ),,,26-06-2022
23,,South Salmara,7258,5792,7255,20305,"( South Salmara | 4861 ), ( Mankachar | 15444 )",138.00,"( South Salmara | 0.00 ), ( Mankachar | 138.00 )",,,26-06-2022
24,,Tamulpur,1010,989,845,2844,( Goreswar | 2844 ),0.00,( Goreswar | 0.00 ),,,26-06-2022
25,,Udalguri,553,391,299,1243,"( Kalaigaon | 0 ), ( Harisinga | 0 ), ( Udalguri | 309 ), ( Khairabari | 0 ), ( Mazbat | 934 )",0.00,"( Kalaigaon | 0.00 ), ( Harisinga | 0.00 ), ( Udalguri | 0.00 ), ( Khairabari | 0.00 ), ( Mazbat | 0.00 )",,,26-06-2022
26,,Total,904063,790218,527296,2221577,,74706.77,,,,26-06-2022
