,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
11,,Goalpara,77178,67592,35240,180010,"( Matia | 9211 ), ( Lakhipur | 98230 ), ( Balijana | 72569 ), ( Rongjuli | 0 )",906.20,"( Matia | 308.00 ), ( Lakhipur | 0.00 ), ( Balijana | 598.20 ), ( Rongjuli | 0.00 )",,,23-06-2022
12,,Golaghat,7866,6755,2177,16798,"( Bokakhat | 16798 ), ( Khumtai | 0 )",106.00,"( Bokakhat | 90.00 ), ( Khumtai | 16.00 )",,,23-06-2022
13,,Hailakandi,25525,19831,12576,57932,"( Algapur | 41255 ), ( Hailakandi | 7177 ), ( Katlicherra | 0 ), ( Lala | 9500 )",101.00,"( Algapur | 47.00 ), ( Hailakandi | 21.00 ), ( Katlicherra | 0.00 ), ( Lala | 33.00 )",,,23-06-2022
14,,Hojai,15363,11153,4191,30707,"( Hojai | 7436 ), ( Doboka | 18154 ), ( Lanka | 5117 )",1439.00,"( Hojai | 178.00 ), ( Doboka | 446.00 ), ( Lanka | 815.00 )",,,23-06-2022
15,,Kamrup,209655,134633,84878,429166,"( Rangia | 25850 ), ( Hajo | 164733 ), ( Chaygaon | 0 ), ( Nagarbera | 0 ), ( Kayan | 25857 ), ( Chamaria | 0 ), ( Goroimari | 0 ), ( Kamalpur | 188602 ), ( Palashbari | 2499 ), ( North Ghy | 21625 )",4361.25,"( Rangia | 698.50 ), ( Hajo | 750.00 ), ( Chaygaon | 84.00 ), ( Nagarbera | 220.00 ), ( Kayan | 344.50 ), ( Chamaria | 88.25 ), ( Goroimari | 700.00 ), ( Kamalpur | 1045.00 ), ( Palashbari | 256.00 ), ( North Ghy | 175.00 )",,,23-06-2022
16,,Kamrup (M),2656,2055,20,4731,"( Sonapur | 4731 ), ( Chandrapur | 0 )",899.50,"( Sonapur | 726.50 ), ( Chandrapur | 173.00 )",,,23-06-2022
17,,Karbi Anglong West,90,93,100,283,( Donkamokam | 283 ),0.00,( Donkamokam | 0.00 ),,,23-06-2022
18,,Karimganj,131896,103396,45381,280673,"( Nilambazar | 62318 ), ( RK Nagar | 51140 ), ( Badarpur | 43433 ), ( Patherkandi | 3411 ), ( Karimganj | 120371 )",3148.00,"( Nilambazar | 0.00 ), ( RK Nagar | 3148.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 0.00 ), ( Karimganj | 0.00 )",,,23-06-2022
19,,Lakhimpur,11120,7701,8093,26914,"( North Lakhimpur | 3698 ), ( Nowboicha | 23216 ), ( Bihpuria | 0 ), ( Kadam | 0 )",0.00,"( North Lakhimpur | 0.00 ), ( Nowboicha | 0.00 ), ( Bihpuria | 0.00 ), ( Kadam | 0.00 )",,,23-06-2022
20,,Majuli,995,671,943,2609,"( Majuli | 2609 ), ( Ujani Majuli | 0 )",140.77,"( Majuli | 126.38 ), ( Ujani Majuli | 14.39 )",,,23-06-2022
21,,Morigaon,41980,39463,25040,106483,"( Bhuragaon | 26751 ), ( Morigaon | 70023 ), ( Mayong | 5941 ), ( Mikirbheta | 3768 )",,15020.00,"( Bhuragaon | 721.00 ), ( Morigaon | 1100.00 ), ( Mayong | 13090.00 ), ( Mikirbheta | 109.00 )",,23-06-2022
22,,Nagaon,178859,167482,156967,503308,"( Nagaon | 99155 ), ( Kampur | 259500 ), ( Raha | 142645 ), ( Samaguri | 2008 ), ( Dhing | 0 ), ( Rupahi | 0 )",,17307.45,"( Nagaon | 728.00 ), ( Kampur | 8320.00 ), ( Raha | 8012.45 ), ( Samaguri | 182.00 ), ( Dhing | 44.00 ), ( Rupahi | 21.00 )",,23-06-2022
23,,Nalbari,127989,117864,106208,352061,"( Ghograpar | 4180 ), ( Paschim Nalbari | 46329 ), ( Barbhag | 20300 ), ( Tihu | 1622 ), ( Barkhetri | 269330 ), ( Nalbari | 10300 )",,6863.00,"( Ghograpar | 718.00 ), ( Paschim Nalbari | 554.00 ), ( Barbhag | 140.00 ), ( Tihu | 50.00 ), ( Barkhetri | 5019.50 ), ( Nalbari | 381.50 )",,23-06-2022
24,,Sonitpur,6968,11424,7422,25814,"( Thelamara | 0 ), ( Dhekiajuli | 25814 ), ( Tezpur | 0 )",,1232.00,"( Thelamara | 13.00 ), ( Dhekiajuli | 1205.00 ), ( Tezpur | 14.00 )",,23-06-2022
25,,South Salmara,60750,55459,60743,176952,"( Mankachar | 37769 ), ( South Salmara | 139183 )",,891.00,"( Mankachar | 199.00 ), ( South Salmara | 692.00 )",,23-06-2022
26,,Tamulpur,4551,2764,1532,8847,"( Goreswar | 8722 ), ( Tamulpur | 125 )",,125.00,"( Goreswar | 0.00 ), ( Tamulpur | 125.00 )",,23-06-2022
27,,Tinsukia,573,436,381,1390,"( Tinsukia | 376 ), ( Doomdooma | 1014 )",,49.43,"( Tinsukia | 29.23 ), ( Doomdooma | 20.20 )",,23-06-2022
28,,Udalguri,2280,1530,940,4750,"( Udalguri | 0 ), ( Harisinga | 0 ), ( Khairabari | 0 ), ( Kalaigaon | 0 ), ( Mazbat | 4750 )",,0.00,"( Udalguri | 0.00 ), ( Harisinga | 0.00 ), ( Khairabari | 0.00 ), ( Kalaigaon | 0.00 ), ( Mazbat | 0.00 )",,23-06-2022
29,,Total,1873346,1606414,1054288,4534048,,,100869.76,,,23-06-2022
