,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
11,,Hailakandi,104393,78996,57292,240681,"( Lala | 0 ), ( Algapur | 190660 ), ( Katlicherra | 0 ), ( Hailakandi | 50021 )",361.00,"( Lala | 0.00 ), ( Algapur | 249.00 ), ( Katlicherra | 0.00 ), ( Hailakandi | 112.00 )",,,01-07-2022
12,,Hojai,334,195,138,667,"( Lanka | 263 ), ( Hojai | 404 )",179.00,"( Lanka | 158.00 ), ( Hojai | 21.00 )",,,01-07-2022
13,,Kamrup,9444,7714,2898,20056,"( Nagarbera | 0 ), ( Chamaria | 0 ), ( Hajo | 1492 ), ( Kayan | 48 ), ( North Ghy | 18516 )",370.70,"( Nagarbera | 185.00 ), ( Chamaria | 25.70 ), ( Hajo | 100.00 ), ( Kayan | 30.00 ), ( North Ghy | 30.00 )",,,01-07-2022
14,,Kamrup (M),2348,1589,389,4326,"( Sonapur | 1024 ), ( Chandrapur | 3302 )",812.50,"( Sonapur | 812.50 ), ( Chandrapur | 0.00 )",,,01-07-2022
15,,Karbi Anglong West,13697,13697,16038,43432,( Donkamokam | 43432 ),100.00,( Donkamokam | 100.00 ),,,01-07-2022
16,,Karimganj,22606,16159,7970,46735,"( Nilambazar | 11933 ), ( Badarpur | 11250 ), ( RK Nagar | 16858 ), ( Patherkandi | 0 ), ( Karimganj | 6694 )",41.00,"( Nilambazar | 0.00 ), ( Badarpur | 0.00 ), ( RK Nagar | 0.00 ), ( Patherkandi | 0.00 ), ( Karimganj | 41.00 )",,,01-07-2022
17,,Lakhimpur,32549,29869,19153,81571,"( Narayanpur | 34522 ), ( Nowboicha | 4401 ), ( Subansiri | 9342 ), ( North Lakhimpur | 4769 ), ( Dhakuakhana | 832 ), ( Bihpuria | 27705 ), ( Kadam | 0 )",1749.80,"( Narayanpur | 704.00 ), ( Nowboicha | 0.00 ), ( Subansiri | 658.80 ), ( North Lakhimpur | 0.00 ), ( Dhakuakhana | 336.00 ), ( Bihpuria | 0.00 ), ( Kadam | 51.00 )",,,01-07-2022
18,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",74.80,"( Majuli | 55.00 ), ( Ujani Majuli | 19.80 )",,,01-07-2022
19,,Morigaon,67604,64027,37289,168920,"( Morigaon | 123028 ), ( Mikirbheta | 18347 ), ( Bhuragaon | 26751 ), ( Mayong | 794 )",8031.50,"( Morigaon | 3400.00 ), ( Mikirbheta | 1344.50 ), ( Bhuragaon | 925.00 ), ( Mayong | 2362.00 )",,,01-07-2022
20,,Nagaon,159165,149343,124283,432791,"( Kampur | 171183 ), ( Raha | 158174 ), ( Kaliabor | 133 ), ( Nagaon | 103200 ), ( Samaguri | 101 ), ( Rupahi | 0 )",17873.70,"( Kampur | 7191.00 ), ( Raha | 9999.70 ), ( Kaliabor | 12.00 ), ( Nagaon | 404.00 ), ( Samaguri | 129.00 ), ( Rupahi | 138.00 )",,,01-07-2022
21,,Nalbari,552,476,153,1181,"( Paschim Nalbari | 946 ), ( Barbhag | 235 )",139.00,"( Paschim Nalbari | 0.00 ), ( Barbhag | 139.00 )",,,01-07-2022
22,,Sivasagar,2675,2189,1605,6469,"( Sivsagar | 6 ), ( Demow | 6463 )",,"( Sivsagar | 2.00 ), ( Demow | 24.10 )","( Sivsagar | 2.00 ), ( Demow | 24.10 )",,01-07-2022
23,,Sonitpur,2047,2428,2041,6516,"( Dhekiajuli | 5232 ), ( Thelamara | 246 ), ( Chariduar | 686 ), ( Tezpur | 352 )",,"( Dhekiajuli | 237.60 ), ( Thelamara | 5.00 ), ( Chariduar | 47.30 ), ( Tezpur | 12.00 )","( Dhekiajuli | 237.60 ), ( Thelamara | 5.00 ), ( Chariduar | 47.30 ), ( Tezpur | 12.00 )",,01-07-2022
24,,Tamulpur,705,650,511,1866,( Goreswar | 1866 ),,( Goreswar | 0.00 ),( Goreswar | 0.00 ),,01-07-2022
25,,Tinsukia,5442,4486,3897,13825,"( Sadiya | 0 ), ( Tinsukia | 3693 ), ( Doomdooma | 10132 )",,"( Sadiya | 0.00 ), ( Tinsukia | 253.50 ), ( Doomdooma | 135.00 )","( Sadiya | 0.00 ), ( Tinsukia | 253.50 ), ( Doomdooma | 135.00 )",,01-07-2022
26,,Udalguri,98,58,58,214,"( Khairabari | 0 ), ( Harisinga | 0 ), ( Kalaigaon | 0 ), ( Udalguri | 214 )",,"( Khairabari | 0.00 ), ( Harisinga | 0.00 ), ( Kalaigaon | 0.00 ), ( Udalguri | 0.00 )","( Khairabari | 0.00 ), ( Harisinga | 0.00 ), ( Kalaigaon | 0.00 ), ( Udalguri | 0.00 )",,01-07-2022
27,,Total,1165890,1036383,768132,2970405,,,,,,01-07-2022
