,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
15,,Kamrup (M),0,0,0,0,( Chandrapur | 0 ),778.00,( Chandrapur | 778.00 ),,,18-05-2022
16,,Karbi Anglong,1334,1335,1297,3966,( Donkamokam | 3966 ),290.00,( Donkamokam | 290.00 ),,,18-05-2022
17,,West,,,,,,,,,,18-05-2022
18,,Karimganj,1490,1211,865,3566,"( Badarpur | 210 ), ( Karimganj | 3356 )",,0.00,"( Badarpur | 0.00 ), ( Karimganj | 0.00 )",,18-05-2022
19,,Kokrajhar,0,0,0,0,"( Kokrajhar | 0 ), ( Bagribari | 0 )",,2060.00,"( Kokrajhar | 267.00 ), ( Bagribari | 1793.00 )",,18-05-2022
20,,Lakhimpur,1594,1433,3290,6317,"( Nowboicha | 915 ), ( North Lakhimpur | 600 ), ( Narayanpur | 110 ), ( Bihpuria | 4692 )",,883.20,"( Nowboicha | 144.50 ), ( North Lakhimpur | 4.00 ), ( Narayanpur | 476.70 ), ( Bihpuria | 258.00 )",,18-05-2022
21,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,193.47,"( Majuli | 167.38 ), ( Ujani Majuli | 26.09 )",,18-05-2022
22,,Morigaon,0,0,0,0,"( Mayong | 0 ), ( Morigaon | 0 )",,2070.69,"( Mayong | 1275.00 ), ( Morigaon | 795.69 )",,18-05-2022
23,,Nagaon,126253,114454,47605,288312,"( Raha | 56125 ), ( Kampur | 230380 ), ( Nagaon | 1807 )",,9742.57,"( Raha | 3974.57 ), ( Kampur | 5600.00 ), ( Nagaon | 168.00 )",,18-05-2022
24,,Nalbari,4492,3558,1275,9325,"( Nalbari | 0 ), ( Barbhag | 0 ), ( Banekuchi | 120 ), ( Barkhetri | 0 ), ( Paschim Nalbari | 1241 ), ( Tihu | 7964 ), ( Ghograpar | 0 )",,1251.00,"( Nalbari | 15.00 ), ( Barbhag | 128.50 ), ( Banekuchi | 38.50 ), ( Barkhetri | 594.00 ), ( Paschim Nalbari | 152.00 ), ( Tihu | 292.00 ), ( Ghograpar | 31.00 )",,18-05-2022
25,,Sonitpur,2750,2625,2090,7465,"( Naduar | 738 ), ( Dhekiajuli | 894 ), ( Chariduar | 4632 ), ( Tezpur | 1201 )",,435.60,"( Naduar | 151.00 ), ( Dhekiajuli | 62.60 ), ( Chariduar | 0.00 ), ( Tezpur | 222.00 )",,18-05-2022
26,,Tamulpur,0,0,0,0,( Tamulpur | 0 ),,60.00,( Tamulpur | 60.00 ),,18-05-2022
27,,Udalguri,9325,7469,2961,19755,"( Udalguri | 7766 ), ( Kalaigaon | 11355 ), ( Khairabari | 629 ), ( Harisinga | 5 )",,144.00,"( Udalguri | 122.00 ), ( Kalaigaon | 22.00 ), ( Khairabari | 0.00 ), ( Harisinga | 0.00 )",,18-05-2022
28,,Total,292678,244216,125491,662385,,,46160.43,,,18-05-2022
