,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
10,,Dibrugarh,2883,2213,1593,6689,"( Chabua | 6667 ), ( Dibrugarh West | 22 ), ( Naharkatia | 0 )",6.14,"( Chabua | 5.70 ), ( Dibrugarh West | 0.00 ), ( Naharkatia | 0.44 )",,,18-06-2022
11,,Goalpara,106795,78708,35472,220975,"( Balijana | 93322 ), ( Lakhipur | 122317 ), ( Matia | 5336 ), ( Rongjuli | 0 )",1400.50,"( Balijana | 762.50 ), ( Lakhipur | 0.00 ), ( Matia | 614.00 ), ( Rongjuli | 24.00 )",,,18-06-2022
12,,Golaghat,0,0,0,0,( Khumtai | 0 ),26.00,( Khumtai | 26.00 ),,,18-06-2022
13,,Hojai,63889,47920,13526,125335,"( Lanka | 12494 ), ( Hojai | 88148 ), ( Doboka | 24693 )",3344.00,"( Lanka | 791.00 ), ( Hojai | 2227.00 ), ( Doboka | 326.00 )",,,18-06-2022
14,,Kamrup,87703,73221,57229,218153,"( Rangia | 50242 ), ( Chaygaon | 0 ), ( Kayan | 38122 ), ( Boko | 0 ), ( Goroimari | 0 ), ( Kamalpur | 26362 ), ( Palashbari | 0 ), ( North Ghy | 463 ), ( Hajo | 102964 )",3737.85,"( Rangia | 594.00 ), ( Chaygaon | 144.00 ), ( Kayan | 358.00 ), ( Boko | 10.45 ), ( Goroimari | 165.50 ), ( Kamalpur | 492.90 ), ( Palashbari | 198.00 ), ( North Ghy | 58.00 ), ( Hajo | 1717.00 )",,,18-06-2022
15,,Kamrup (M),8110,6095,358,14563,"( Chandrapur | 0 ), ( Sonapur | 0 ), ( Guwahati | 863 ), ( Azara | 0 ), ( Dispur | 13700 )",219.00,"( Chandrapur | 0.00 ), ( Sonapur | 219.00 ), ( Guwahati | 0.00 ), ( Azara | 0.00 ), ( Dispur | 0.00 )",,,18-06-2022
16,,Karbi Anglong West,5285,5286,5736,16307,( Donkamokam | 16307 ),0.00,( Donkamokam | 0.00 ),,,18-06-2022
17,,Karimganj,27491,18362,6401,52254,"( RK Nagar | 30425 ), ( Badarpur | 50 ), ( Patherkandi | 1335 ), ( Karimganj | 3151 ), ( Nilambazar | 17293 )",200.00,"( RK Nagar | 200.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 0.00 ), ( Karimganj | 0.00 ), ( Nilambazar | 0.00 )",,,18-06-2022
18,,Kokrajhar,24771,20763,9158,54692,"( Bagribari | 22829 ), ( Bhawraguri | 5078 ), ( Gossaigaon | 987 ), ( Dotma | 23705 ), ( Kokrajhar | 2093 )",717.79,"( Bagribari | 284.49 ), ( ",,,18-06-2022
19,,Lakhimpur,54316,36830,22688,113834,"( Narayanpur | 0 ), ( North Lakhimpur | 51619 ), ( Nowboicha | 37898 ), ( Subansiri | 5257 ), ( Bihpuria | 17271 ), ( Dhakuakhana | 629 ), ( Kadam | 1160 )",,1232.95,"( Narayanpur | 0.00 ), ( North Lakhimpur | 161.00 ), ( Nowboicha | 313.30 ), ( Subansiri | 317.00 ), ( Bihpuria | 339.80 ), ( Dhakuakhana | 30.00 ), ( Kadam | 71.85 )",,18-06-2022
20,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,631.37,"( Majuli | 539.02 ), ( Ujani Majuli | 92.35 )",,18-06-2022
21,,Morigaon,0,0,0,0,"( Bhuragaon | 0 ), ( Mayong | 0 ), ( Morigaon | 0 ), ( Laharighat | 0 )",,1707.00,"( Bhuragaon | 311.00 ), ( Mayong | 750.00 ), ( Morigaon | 545.00 ), ( Laharighat | 101.00 )",,18-06-2022
22,,Nagaon,84443,75599,81149,241191,"( Samaguri | 380 ), ( Raha | 33863 ), ( Kampur | 205026 ), ( Nagaon | 1548 ), ( Kaliabor | 374 )",,5174.74,"( Samaguri | 88.00 ), ( Raha | 273.74 ), ( Kampur | 4730.00 ), ( Nagaon | 56.00 ), ( Kaliabor | 27.00 )",,18-06-2022
23,,Nalbari,70124,60509,34773,165406,"( Ghograpar | 41171 ), ( Tihu | 14470 ), ( Nalbari | 12500 ), ( Banekuchi | 43820 ), ( Paschim Nalbari | 31329 ), ( Barbhag | 11500 ), ( Barkhetri | 10616 )",,6531.30,"( Ghograpar | 606.00 ), ( Tihu | 367.00 ), ( Nalbari | 338.10 ), ( Banekuchi | 165.00 ), ( Paschim Nalbari | 554.00 ), ( Barbhag | 83.50 ), ( Barkhetri | 4417.70 )",,18-06-2022
24,,Sivasagar,46,51,21,118,"( Sivsagar | 118 ), ( Demow | 0 )",,148.50,"( Sivsagar | 80.00 ), ( Demow | 68.50 )",,18-06-2022
25,,Sonitpur,23915,21389,24639,69943,"( Thelamara | 4954 ), ( Chariduar | 57261 ), ( Dhekiajuli | 7365 ), ( Tezpur | 363 )",,2773.80,"( Thelamara | 683.00 ), ( Chariduar | 435.00 ), ( Dhekiajuli | 1465.10 ), ( Tezpur | 190.70 )",,18-06-2022
26,,South Salmara,2823,2689,1332,6844,"( Mankachar | 43 ), ( South Salmara | 6801 )",,405.00,"( Mankachar | 405.00 ), ( South Salmara | 0.00 )",,18-06-2022
27,,Tamulpur,12329,10406,4230,26965,"( Goreswar | 20955 ), ( Tamulpur | 6010 )",,220.00,"( Goreswar | 0.00 ), ( Tamulpur | 220.00 )",,18-06-2022
28,,Tinsukia,4455,3682,2641,10778,( Doomdooma | 10778 ),,302.88,( Doomdooma | 302.88 ),,18-06-2022
29,,Udalguri,36452,25393,17399,79244,"( Khairabari | 5332 ), ( Udalguri | 11035 ), ( Mazbat | 9525 ), ( Kalaigaon | 49671 ), ( Harisinga | 3681 )",,458.20,"( Khairabari | 0.00 ), ( Udalguri | 0.00 ), ( Mazbat | 0.00 ), ( Kalaigaon | 458.20 ), ( Harisinga | 0.00 )",,18-06-2022
30,,Total,1343019,1110503,646240,3099762,,,66455.82,,,18-06-2022
