,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
10,,Goalpara,100465,73131,10906,184502,"( Balijana | 63643 ), ( Lakhipur | 117215 ), ( Matia | 3644 ), ( Dudhnoi | 0 ), ( Rongjuli | 0 )",1062.00,"( Balijana | 762.50 ), ( Lakhipur | 0.00 ), ( Matia | 272.00 ), ( Dudhnoi | 0.50 ), ( Rongjuli | 27.00 )",,,17-06-2022
11,,Hojai,55150,39535,10656,105341,"( Lanka | 9047 ), ( Hojai | 73499 ), ( Doboka | 22795 )",3757.00,"( Lanka | 532.00 ), ( Hojai | 3026.00 ), ( Doboka | 199.00 )",,,17-06-2022
12,,Kamrup,52965,42906,23068,118939,"( Kayan | 38122 ), ( Chaygaon | 0 ), ( North Ghy | 221 ), ( Rangia | 50253 ), ( Goroimari | 0 ), ( Palashbari | 0 ), ( Kamalpur | 14071 ), ( Boko | 0 ), ( Hajo | 16272 )",2625.65,"( Kayan | 358.00 ), ( Chaygaon | 123.00 ), ( North Ghy | 0.00 ), ( Rangia | 593.00 ), ( Goroimari | 69.00 ), ( Palashbari | 198.00 ), ( Kamalpur | 208.20 ), ( Boko | 10.45 ), ( Hajo | 1066.00 )",,,17-06-2022
13,,Kamrup (M),17775,14589,1965,34329,"( Chandrapur | 0 ), ( Guwahati | 12879 ), ( Dispur | 21450 )",0.00,"( Chandrapur | 0.00 ), ( Guwahati | 0.00 ), ( Dispur | 0.00 )",,,17-06-2022
14,,Karbi Anglong West,1575,1476,2102,5153,( Donkamokam | 5153 ),244.00,( Donkamokam | 244.00 ),,,17-06-2022
15,,Kokrajhar,34300,33351,24764,92415,"( Bagribari | 20212 ), ( Kokrajhar | 22186 ), ( Bhawraguri | 17767 ), ( Gossaigaon | 1989 ), ( Dotma | 30261 )",1583.74,"( Bagribari | 284.49 ), ( Kokrajhar | 460.40 ), ( Bhawraguri | 0.00 ), ( Gossaigaon | 141.10 ), ( Dotma | 697.75 )",,,17-06-2022
16,,Lakhimpur,16337,12987,11641,40965,"( North Lakhimpur | 7853 ), ( Nowboicha | 27412 ), ( Subansiri | 257 ), ( Kadam | 2926 ), ( Bihpuria | 2517 )",549.30,"( North Lakhimpur | 97.00 ), ( Nowboicha | 360.30 ), ( Subansiri | 75.00 ), ( Kadam | 7.00 ), ( Bihpuria | 10.00 )",,,17-06-2022
17,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",361.00,"( Majuli | 309.00 ), ( Ujani Majuli | 52.00 )",,,17-06-2022
18,,Morigaon,0,0,0,0,( Mayong | 0 ),320.00,( Mayong | 320.00 ),,,17-06-2022
19,,Nagaon,21164,20546,15416,57126,"( Kampur | 57126 ), ( Raha | 0 )",1631.74,"( Kampur | 1437.00 ), ( Raha | 194.74 )",,,17-06-2022
20,,Nalbari,52613,43534,26888,123035,"( Paschim Nalbari | 25102 ), ( Ghograpar | 35610 ), ( Barbhag | 8551 ), ( Nalbari | 9460 ), ( Tihu | 11500 ), ( Banekuchi | 22196 ), ( Barkhetri | 10616 )",1891.80,"( Paschim Nalbari | 449.00 ), ( Ghograpar | 606.00 ), ( Barbhag | 178.00 ), ( Nalbari | 252.80 ), ( Tihu | 367.00 ), ( Banekuchi | 39.00 ), ( Barkhetri | 0.00 )",,,17-06-2022
21,,Sivasagar,0,0,0,0,( Demow | 0 ),19.14,( Demow | 19.14 ),,,17-06-2022
22,,Sonitpur,8142,7310,6102,21554,"( Naduar | 0 ), ( Dhekiajuli | 3703 ), ( Thelamara | 4840 ), ( Chariduar | 12947 ), ( Tezpur | 64 )",799.50,"( Naduar | 6.00 ), ( ",,,17-06-2022
23,,South Salmara,2615,2512,1105,6232,"( South Salmara | 6232 ), ( Mankachar | 0 )",,405.00,"( South Salmara | 0.00 ), ( Mankachar | 405.00 )",,17-06-2022
24,,Tamulpur,3769,12314,3115,19198,"( Tamulpur | 6070 ), ( Goreswar | 13128 )",,524.00,"( Tamulpur | 300.00 ), ( Goreswar | 224.00 )",,17-06-2022
25,,Tinsukia,1848,1625,1248,4721,"( Tinsukia | 2666 ), ( Doomdooma | 2055 )",,494.30,"( Tinsukia | 238.00 ), ( Doomdooma | 256.30 )",,17-06-2022
26,,Udalguri,20273,14351,10302,44926,"( Khairabari | 4850 ), ( Udalguri | 10393 ), ( Mazbat | 4010 ), ( Kalaigaon | 24903 ), ( Harisinga | 770 )",,295.10,"( Khairabari | 55.00 ), ( Udalguri | 0.00 ), ( Mazbat | 0.00 ), ( Kalaigaon | 240.10 ), ( Harisinga | 0.00 )",,17-06-2022
27,,Total,843431,699144,351798,1894373,,,43338.39,,,17-06-2022
