0,1,2,3,4,5,6,7,8,9
,,,"per report received from PWD(Road) Dept on 01/07/2023 | (Long - 91.130792, Lat - 
26.429038, Dept - PWD (Roads)),  
T-02 Kawaimari 7 No Block (PMGSY completed-Pkg No-AS-01-197) side berms heavily 
damaged in stretches (Lat- 26.391227, Long- 91.169056, in Sarthebari Rev Circle) | T-02 
Kawaimari 7 No Block | As per report received from PWD(Road) Dept on 01/07/2023 | 
(Long - 91.169056, Lat - 26.391227, Dept - PWD (Roads)),  
T02 – to Nalirpam (PMGSY Completed- Pkg No-AS-01-304) road submerged and side 
berms heavily damaged in strecches (Lat- 26.393471, Long- 91.126938, Under Sarthebari 
Rev Circle) | T02 – to Nalirpam | As per report received from PWD(Road) Dept on 
01/07/2023 | (Long - 91.126938, Lat - 26.393471, Dept - PWD (Roads)),  
Pithadi to Baithabhanga (PMGSY completed –Pkg No- AS-01-311) road side berms and 
hard crust severly damaged by river Kaldia. HP Culvert heavily damaged at 2nd KM.(Lat- 
26.369293, Long- 91.147162, inderSartehbari rev circle) | Pithadi to Baithabhanga | As per 
report received from PWD(Road) Dept on 01/07/2023 | (Long - 91.147162, Lat - 26.369293, 
Dept - PWD (Roads)),  
Naligaon to Bhaktardoba Bazar (PMGSY Completed road –Pkg No- AS-01-310) road side 
berms & hard crust heavily damaged in stretches(Lat- 26.399819, Long- 91.121687, under 
Sarthebari Rev Circle) | Naligaon to Bhaktardoba Bazar | As per report received from 
PWD(Road) Dept on 01/07/2023 | (Long - 91.121687, Lat - 26.399819, Dept - PWD 
(Roads)),  
Besimari to AgdiaPathar road (PMGSY completed-Pkg No- AS-01-180) road side berms & 
hard crust heavily damaged. RCC Br No 1/1 approaches eroded. (Lat- 26.31795, Long- 
91.141982, Under Sarthebari Rev Circle) | Besimari to AgdiaPathar road | As per report 
received from PWD(Road) Dept on 01/07/2023 | (Long - 91.141982, Lat - 26.317950, Dept - 
PWD (Roads)),  
Chengdi to Byaskuchi road (PMGSY completed- Pkg- AS-01-179) RCC Bridge No 1/1 & 
3/1 approaches damaged by river Mora Chaolkhuwa. Side berms & hard crust damaged in 
streches (Lat- 26.384083, Long- 91.210375, under Sarthebari Rev. Circle) | Chengdi to 
Byaskuchi road | As per report received from PWD(Road) Dept on 01/07/2023 | (Long - 
91.210375, Lat - 26.384083, Dept - PWD (Roads)),  
Kawaimari LP School to Balapara (PMGSY completed –Pkg- AS-01-305) road submerged 
in streches Side berms heavily damaged. (Lat- 26.400481, Long- 91.136189, under 
Sarthebari Rev Circle) | Kawaimari LP School to Balapara | As per report received from 
PWD(Road) Dept on 01/07/2023 | (Long - 91.136189, Lat - 26.400481, Dept - PWD 
(Roads)),  
NewlarbhithaSatrapaka via Jabrikuchi road (PMGSY completed- Pkg- AS-01-189) road side 
berms and hard crust damaged in streches from 1st to 4th KM. RCC BridgeNo 1/1 
approaches damaged(Lat- 26.384083, Long-91.187383, under Sarthebari Rev circle) | 
NewlarbhithaSatrapaka via Jabrikuchi road | As per report received from PWD(Road) Dept 
on 01/07/2023 | (Long - 91.187383, Lat - 26.384083, Dept - PWD (Roads)),  
KapahartariThekargaonBherabhitha road SPT br No 6/1 approaches damaged , side berms of 
road damaged. (Lat- 26.359072,Long- 91.090791, under Sarthebari Rev circle) | 
KapahartariThekargaonBherabhitha road | As per report received from PWD(Road) Dept on 
01/07/2023 | (Long - 91.090791, Lat - 26.359072, Dept - PWD (Roads)),  
Bhaktardoba to Zero bazar via Pithadi road submerged in streches. (lat- 26.365585, Long- 
91.128182, under Sarthebari Rev Circle) | Bhaktardoba to Zero bazar via Pithadi road | As 
per report received from PWD(Road) Dept on 01/07/2023 | (Long - 91.128182, Lat - 
26.365585, Dept - PWD (Roads)),  
RajakahatBarsimla road to KaharparaBesimariKirtanghar road submerged (Lat- 26.466535, 
Long- 91.131518, under Sarthebari Rev Circle) | RajakahatBarsimla road to 
KaharparaBesimariKirtanghar road | As per report received from PWD(Road) Dept on 
01/07/2023 | (Long - 91.131518, Lat - 26.466535, Dept - PWD (Roads)),  
Balapara to Kirkira Road submerged (Lat- 26.430369, Long- 91.14651, under Sarthebri Rev. 
Circle) | Balapara to Kirkira Road | As per report received from PWD(Road) Dept on 
01/07/2023 | (Long - 91.146510, Lat - 26.430369, Dept - PWD (Roads)),  
BharegaonHatirtari Road submerged. Road surface badly damaged. (lat- 26.451822, Long- 
91.113014,under Sarthebari Rev. Circle) | BharegaonHatirtari Road | As per report received 
from PWD(Road) Dept on 01/07/2023 | (Long - 91.113014, Lat - 26.451822, Dept - PWD 
(Roads)),  
Balapara to Rampur (RajakhatBarsimla Road Segment-2) road surface damaged. (lat- 
26.423438, Long- 91.159143, under Sarthebari Rev Circle). | Balapara to Rampur | As per 
report received from PWD(Road) Dept on 01/07/2023 | (Long - 91.159143, Lat - 26.423438, 
Dept - PWD (Roads)),  
KaharparaBesimariKirtanGhar road submerged. Side berms damaged (Lat- 26.466181, 
Long- 91.132509, under SarthebariRevCircle). | KaharparaBesimariKirtanGhar road | As per 
report received from PWD(Road) Dept on 01/07/2023 | (Long - 91.132509, Lat - 26.466181, 
Dept - PWD (Roads))",,,,,,
,"Ghograpar - Nizkhagta- burburi road | Nizkhagta, Burburi | Aa per PWRD report, on 
Nalbari 
1 
01/07/2023 nizkhagta burburi road surface has been damaged due to flood. Length - 1.10 km 
| (Long - 0.000000, Lat - 0.000000, Dept - PWD (Roads))",,,,,,,,
,"Total 
 
21",,,,,,,,
"Infrastructure 
Damaged - 
Bridge",Nil,,,,,,,,
"Infrastructure 
Damaged - 
Wildlife",Nil,,,,,,,,
"Infrastructure 
Damaged - 
Others","District/Sub-
division*",Other Details,,,,,,,
,Baksa,"Jalah - Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Flood 
damage of earthen main canal of Bhumki FIS from ch. 2700.00 m to 3500.00m.Nature of damage- 
Damage of canal of Embankment due to flood. Lat-26.696057 Long-91.231002.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Flood 
damage of earthen main canal of Bhumki FIS from ch. 9900.00 m to 11700.00m.Nature of Damage- 
Damage of canal embankment due to flood.Lat-26.695545, Long-91.231071,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Flood 
damage of earthen Branch Canal-5 of Bhumki FIS from ch. 150.00 m to 1000.00m. Nature of Damage- 
Damage of canal embankment due to flood. Lat-26.635975 Long-91.223695.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Flood 
damage of earthen Branch Canal-3 of Bhumki FIS from ch. 6000.00 m to 6400.00m. Nature of Damage- 
Damage of canal embankment due to flood. Lat- 26.610875 Long-91.178684.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Water 
Course (Brick lined) at Chainage 2300.00 M of Main canal of Bhumki FIS. Nature of Damage- Damage 
of bed and wall of water course at Main canal of Bhumki FIS.Lat- 26.699685 Long-91.232585.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Water 
Course (Brick lined) at Chainage 6600.00 M of Main canal of Bhumki FIS. Nature of Damage- Damage 
of bed and wall of water course at Main canal of Bhumki FIS.Lat- 26.659001 Long-91.224286.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Water 
Course (Brick lined) at Chainage 4600.00 M of Main canal of Bhumki FIS. Nature of Damage- Damage 
of bed and wall of water course at Main canal of Bhumki FIS.:Lat- 26.679618 Long-91.231777.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Water 
Course (Brick lined) at Chainage 1030.00 M of branch canal-2 of Bhumki FIS. Nature of Damage- 
Damage of bed and wall of water course at branch canal-2 of Bhumki FIS.Lat- 26.699715 Long-
91.215286.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Water 
Course (Brick lined) at Chainage 2330.00 M of branch canal-3 of Bhumki FIS. Nature of Damage- 
Damage of bed and wall of water course at branch canal-3 of Bhumki FIS. Lat-26.699690 Long-
91.235590.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Water 
Course (Brick lined) at Chainage 7700.00 M of Main canal of Bhumki FIS. . Nature of Damage- 
Damage of bed and wall of water course at Main canal of Bhumki FIS.Lat- 26.653038 Long-91.221132.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Water 
Course (Brick lined) at Chainage 7420.00 M of Main canal of Bhumki FIS. Nature of Damage- Damage 
of bed and wall of water course at Main canal of Bhumki FIS. Lat-26.649934 Long-91.215807.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Water 
Course (Brick lined) at Chainage 8400.00 M of Main canal of Bhumki FIS Nature of Damage- Damage 
of bed and wall of water course at Main canal of Bhumki FIS. Lat-26.65002 Long-91.215857.,  
Irrigation Canal/Scheme Damaged | As per information received from Executive Engineer, Tihu 
Division (Irrigation) Tihu Date of Received-01-07-2023. Date of Occurrence :- 26-06-2023 Canal 
Regulator gate no1, gate no 2,gate 3 and gate 5 of Bhumki FIS. Nature of Damage- Damage of guide 
channel, rubber seal, shutter assembly and guide ruller of different canal regulator gates of Kaldiya 
FIS.Lat- 26.65030 Long-91.215980.,  
Culvert Damaged | As per information received from Asstt. Engineer PWD (R &B) Salbari. Date of 
Received-01-07-2023. SLAB Culvert No 0/1 has bee damaged at Ch-110.00 on Saudarvitha High School",,,,,,,
,,"field to Saudhrvitha village link road. Date of Occurrence-21-06-2023. Lat-26.580944 Long-91.094693. 
,  
Culvert Damaged | As per information received from Asstt. Ex Engineer PWD (R &B) Salbari. Date of 
Received-01-07-2023. Culvert no 0/1 has been damaged at ch-100.00 on Roumari to Amrarabati.Date of 
Occurrence-21-06-2023. Lat-26.6061 long-91.080994 ,  
Bamboo Foot Bridge | As per information received from Asstt. Ex. Engineer PWD (R &B) Salbari. Date 
of receipt-01-07-2023. The foot bridge has been wasted away on the road Ghoramara to Pub-Rajabil 
over River Rupahi. Date of occurrence-Midnight 14-06-2023. lat- 26.670091 long-91.097989",,,,,,,
,Dibrugarh,"Tingkhong - Culvert Approach Road Damaged | As reported by PWD(roads) on 01/07/2023 due to 
recent heavy rainfall the water level in Longboi Jaan river suddenly raised due to which the road of 
""Rajgarh T.E to Puwali Pather and culvert face wall are badly affected that cause movement of traffic 
and pedestrian disrupted.Total Length of Road=100 m,Approx. road damage-100m,Revenue village-3 
no. Sepatoli,Date of Occurence-30/6/2023,Lat-27.167084,Long-95.13989",,,,,,,
,Kamrup,"North Ghy - Irrigation Canal/Scheme Damaged | Solar powered DTW Irrigation scheme under SOPD 
for the year 2021-22 belonging to village Athiaboi and Bonmaza was affected on 01.07.2023 as per 
report received from AEE, Jalukbari Sub-Div (Irrigation), Amingaon",,,,,,,
,Kokrajhar,"Bagribari - Irrigation Canal/Scheme Damaged | As per reported by AEE, Gossaigaon Sub Division 
(Irrigation) Gossaigaon on 26.06.2023 report received on 02.07.2023 due to heavy rain Damaged R/S 
Main Canal Shilai FIS at Village Harjhora,  
(Kokrajhar) At District - Irrigation Canal/Scheme Damaged | As per reported by AEE, Gossaigaon Sub 
Division (Irrigation) Gossaigaon on 26.06.2023 report received on 02.07.2023 due to heavy rain 
Damaged Embankment, R/S Afflux Bundh 50.00mtrs. at Kharkhari FIS at Village Thakurpur Pt-II",,,,,,,
,Lakhimpur,"Kadam - Bamboo Foot Bridge | Bamboo foot bridge no 1/1 at 1st KM over Anaighoria jaan damaged 
due to incessant raining. Road name Rangpuria to Lalpani road. Bridge length 20m reported by PWD (R) 
department on 02/07/2023",,,,,,,
Erosion,"District/Sub-
division*",Details,,,,,,,
,Barpeta,"Kalgachia - Kaurjahi | PMGSY Road from Kalgachia to Balaipathar at Kaurjahi village,near Eshab 
Bazar is badly affected due to ongoing erosion of river Beki, reported by LM on 01.07.2023 | 0 | (Long - 
90.894993, Lat - 26.373439)",,,,,,,
,Biswanath,"Halem - Paken | River Brahmaputra- 1) Mild bank erosion is observed at Paken area of B-dyke from 
Jamuguri to Kharoi outfall. Length = 10m, on 2/07/2023 | 0 | (Long - 93.628300, Lat - 26.801150),  
Gohpur - At No.2 Bikrampur area. | Mild erosion is observed at R/Bank embankment of river Sessa of 
60 mtr length on 02/07/2023 | 0 | (Long - 93.726193, Lat - 26.967468)",,,,,,,
,Bongaigaon,"Srijangram - Numberpara, Kacharipetty | Dated 01/07/2023, As per WRD Bank erosion on L/B of river 
Manas at numberpara area for a reach of 1000m and on R/B of river Aie at Kacharipetty area for a reach 
of 2000M is observed. (26.359629, 90.732508) | 0 | (Long - 90.814671, Lat - 26.399192)",,,,,,,
,Dibrugarh,"Tingkhong - Revenue village-Disang | As reported by WRD on 01/07/2023 erosion occured by Disam 
river at Bor Disam gaon,Revenue village-Disang,Damage length-30m | 0 | (Long - 95.125790, Lat - 
27.317816)",,,,,,,
,Sivasagar,"Sivsagar - 1. Barichuk, 2. Bhatibon Gaon | 1.The damaged has been observed in the form of slump down 
on 30-06-2023 at Left bank embankment of Dikhow river from AT road to Namdung outfall at Barichuk 
under Sivasagar Revenue Circle.(26.96196, 94.5633) the report received from Water Resources 
department , Sivasagar 2. The damaged has been observed in the form of slump down on 30-06-2023 at 
left bank of river Dikhow near Bhatibon gaon under Sivasagar Revenue Circle. (26.9737672, 94.565188) 
the report received from Water Resources department , Sivasagar | 0 | (Long - 26.961960, Lat - 
94.563300)",,,,,,,
,Sonitpur,"Thelamara - Baligaon Bangaligaon | Date-02/07/2023, As reported by Tezpur Water Resource Tezpur 
Division on 02/07/2023 Bank erosion is observed at Baligaon Bongaligaon area on the left bank area of 
river Belsiri,Length = 200.00m, Latitude : 26.736022, Longitude: 92.558699 | 0 | (Long - 92.558699, Lat 
- 26.736022)",,,,,,,
Landslide,Nil,,,,,,,,
Urban Flood,Nil,,,,,,,,
"*Bajali, Biswanath, Hojai and Tamulpur are sub-divisions (Independent)",,,,,,,,,
