,District,STATE,TEHSIL,Shape_Leng,Shape_Area,max,mean,count,sum
22,KANGRA,HIMACHAL PRADESH,BAIJNATH,107704.115982,287303705.114,0.3716983802318573,0.2413242299939301,282,68.05343285828829
23,KANGRA,HIMACHAL PRADESH,BAROH,65598.5098915,131464158.635,0.44514129474163056,0.42675638922601944,128,54.62481782093049
24,KANGRA,HIMACHAL PRADESH,DADA SIBA,93430.3513382,104793280.648,0.44514129474163056,0.3258526907181976,101,32.91112176253796
25,KANGRA,HIMACHAL PRADESH,DERA GOPIPUR,294906.298721,528405302.235,0.44514129474163056,0.38336795558647285,507,194.36755348234175
26,KANGRA,HIMACHAL PRADESH,DHARMSHALA,109655.028096,331285264.835,0.5291289626121521,0.47890570933745685,326,156.12326124401093
27,KANGRA,HIMACHAL PRADESH,DHIRA,60248.4715412,79648650.6587,0.44514129474163056,0.30364733836831925,79,23.98813973109722
28,KANGRA,HIMACHAL PRADESH,FATEHPUR,171339.803462,272580665.613,0.3774436213970184,0.3633617441315259,268,97.38094742724894
29,KANGRA,HIMACHAL PRADESH,HARCHAKIAN,72192.2684268,70822836.5732,0.5291289626121521,0.4060197700027107,69,28.015364130187038
30,KANGRA,HIMACHAL PRADESH,INDORA,165510.686549,321357862.109,0.3774436213970184,0.3039567295382869,310,94.22658615686893
31,KANGRA,HIMACHAL PRADESH,JAISINGHPUR,96794.2438582,187330317.657,0.2980620506167412,0.28620675516403643,182,52.089629439854626
32,KANGRA,HIMACHAL PRADESH,JASWAN  KOTLA,98201.9436815,108888056.099,0.368007141828537,0.30817925526717,107,32.97518031358719
33,KANGRA,HIMACHAL PRADESH,JAWALA MUKHI,68606.5595855,119673010.665,0.44514129474163056,0.3155430403906724,116,36.60299268531799
34,KANGRA,HIMACHAL PRADESH,JAWALI,149001.10853,302916460.017,0.5291289626121521,0.3127102370084943,296,92.56223015451431
35,KANGRA,HIMACHAL PRADESH,KANGRA,90886.7318549,164768860.92,0.5291289626121521,0.4624478444846471,165,76.30389433996677
36,KANGRA,HIMACHAL PRADESH,KHUNDIAN,78290.2126095,187458647.424,0.44514129474163056,0.34053218564421106,179,60.95526123031378
37,KANGRA,HIMACHAL PRADESH,MULTHAN,167027.73222,967406546.114,0.3384945094108582,0.27081606005230907,939,254.2962803891182
38,KANGRA,HIMACHAL PRADESH,NAGROTA BAGWAN,69697.3433496,105666863.694,0.5291289626121521,0.40013217361183734,102,40.81348170840741
39,KANGRA,HIMACHAL PRADESH,NURPUR,152625.304313,530249101.548,0.33254387879371644,0.2611724238148476,515,134.50379826464652
40,KANGRA,HIMACHAL PRADESH,PALAMPUR,139085.481181,421183218.454,0.3716983802318573,0.33110557248504735,408,135.0910735738993
41,KANGRA,HIMACHAL PRADESH,RAKAR,55477.0541556,114032822.435,0.28160221214294434,0.28160221214294434,110,30.97624333572388
42,KANGRA,HIMACHAL PRADESH,SHAHPUR,118758.58943,239984948.195,0.5291289626121521,0.5156723340692192,232,119.63598150405886
43,KANGRA,HIMACHAL PRADESH,THURAL,43654.7437443,56588648.0292,0.2980620506167412,0.2977898464139903,53,15.782861859941486
44,KINNAUR,HIMACHAL PRADESH,KALPA,106697.164255,366107987.064,0.1197167052745819,0.10139564192911212,356,36.096848526763914
