,revenue_ci,district
95,RK Nagar,KARIMGANJ
96,Ramkrishna Nagar,HAILAKANDI
97,Algapur,HAILAKANDI
98,Lala,HAILAKANDI
99,Katlicherra,HAILAKANDI
100,"Bongaigaon
(Pt)",BONGAIGAON
101,Boitamari,BONGAIGAON
102,Srijangram,BONGAIGAON
103,Sidli (Pt-II),BONGAIGAON
104,Bijni (Pt),BONGAIGAON
105,Kokrajhar (Pt),CHIRANG
106,Barnagar (Pt),CHIRANG
107,Bengtal,CHIRANG
108,Sidli (Pt),CHIRANG
109,Bijni (Pt),CHIRANG
110,"Rangia
(Pt)",KAMRUP
111,Kayan,KAMRUP
112,Kamalpur,KAMRUP
113,Hajo,KAMRUP
114,Chhaygaon,KAMRUP
115,Goroimari,KAMRUP
116,Chamaria,KAMRUP
117,Nagarbera,KAMRUP
118,Boko,KAMRUP
119,"North
Guwahati",KAMRUP
120,Jalah (Pt),KAMRUP
121,Guwahati,KAMRUP (M)
122,Sonapur,KAMRUP (M)
123,Chandrapur,KAMRUP (M)
124,"Tihu
(Pt)",NALBARI
125,"Pachim
Nalbari",NALBARI
126,Barkhetri,NALBARI
127,Barbhag,NALBARI
128,Nalbari,NALBARI
129,Banekuchi,NALBARI
130,Ghograpar (Pt),NALBARI
131,Ghograpar (Pt),NALBARI
132,Baganpara (Pt),NALBARI
133,Barnagar (Pt),BAKSA
134,Ghograpar (Pt),BAKSA
135,Jalah (Pt),BAKSA
136,Barama,BAKSA
137,Rangia (Pt),TAMULPUR
138,Pathorighat (Pt),TAMULPUR
139,Khoirabari (Pt),DARRANG
140,Patharighat (Pt),DARRANG
141,Sipajhar,DARRANG
142,Dhekiajuli (Pt),UDALGURI
143,Khoirabari (Pt),UDALGURI
144,Pathorighat (Pt),UDALGURI
145,Mangaldoi (Pt),UDALGURI
146,Dalgaon (Pt),UDALGURI
147,Harisinga,UDALGURI
148,Udalguri,UDALGURI
149,Mazbat,UDALGURI
150,Sonari,CHARAIDEO
151,Mahmora,CHARAIDEO
152,Biswanath,BISWANATH
153,Halem,BISWANATH
154,Gohpur,BISWANATH
155,Hojai,HOJAI
156,Doboka,HOJAI
157,Lanka,HOJAI
158,Donkamokam,KARBI ANGLONG WEST
159,South Salmara,SOUTH SALMARA
160,Mankachar,SOUTH SALMARA
161,Majuli,MAJULI
162,Bajali (Pt),TAMULPUR
163,Goreswar (Pt),TAMULPUR
164,Baganpara (Pt),BAKSA
165,Tamulpur,TAMULPUR
166,Baska,BAKSA
167,Sarupeta (Pt),BAKSA
168,Barnagar (Pt),BARPETA
169,Sarupeta (Pt),BARPETA
170,Chenga,BARPETA
171,North Guwahati (Pt),KAMRUP (M)
172,Kalaigaon (Pt),UDALGURI
173,Mangaldoi (Pt),DARRANG
174,Dalgaon (Pt),DARRANG
175,Mayong,MORIGAON
176,Palasbari,KAMRUP
177,Azara,KAMRUP
178,Gossaigaon (Pt),DHUBRI
179,Ujani Majuli,MAJULI
180,Sapekhati,CHARAIDEO
