,ID,ind_ppp_UNadj,aged,young,sexratio,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,x,y,yr
19386,19386,3,0,0,943,NA,0,1,1,0,4,94.01261585,26.18516542,2022
19387,19387,5,0,1,938,1,0,2,1,0,7,94.07265547,26.32986607,2022
19388,19388,6,0,1,938,1,0,2,1,0,8,93.97914779,26.33107274,2022
19389,19389,6,0,1,938,1,0,2,2,0,8,93.98629042,26.3347653,2022
19390,19390,5,0,1,933,NA,0,1,1,0,6,90.59120882,26.25569375,2022
19391,19391,4,0,0,938,NA,0,2,1,0,5,93.94930034,26.67211882,2022
19392,19392,6,0,1,933,NA,1,2,2,0,7,90.50014166,26.36607046,2022
19393,19393,5,0,1,933,NA,0,1,1,0,6,90.5923104,26.26436701,2022
19394,19394,5,0,1,933,NA,0,1,1,0,6,90.57544345,26.30403706,2022
19395,19395,4,0,0,933,NA,0,1,1,0,4,90.54230882,26.25817202,2022
19396,19396,0,0,0,938,NA,0,0,0,0,1,94.17223312,26.34650473,2022
19397,19397,4,0,0,938,NA,0,1,1,0,6,94.02885087,26.22527348,2022
19398,19398,4,0,0,938,NA,0,1,1,0,6,93.99552511,26.23101085,2022
19399,19399,4,0,0,938,NA,0,1,1,0,5,94.06596648,26.27074249,2022
19400,19400,4,0,0,938,NA,0,2,1,0,5,93.96538254,26.74008979,2022
19401,19401,3,0,0,938,NA,0,2,1,0,5,93.97175502,26.69675727,2022
19402,19402,2,0,0,938,NA,0,1,0,0,2,93.77102266,26.62623032,2022
19403,19403,3,0,0,938,NA,0,2,1,0,4,93.91981553,26.67512972,2022
19404,19404,3,0,0,938,NA,0,1,1,0,4,93.89647222,26.55356192,2022
19405,19405,4,0,0,938,NA,0,1,1,0,5,94.01871713,26.57893961,2022
19406,19406,4,0,0,938,NA,0,1,1,0,5,93.94409212,26.56946683,2022
19407,19407,4,0,0,938,NA,0,1,1,0,5,94.05990652,26.57182893,2022
19408,19408,3,0,0,938,NA,0,2,1,0,5,93.97307523,26.6479834,2022
19409,19409,2,0,0,938,NA,1,1,1,0,3,93.85293752,26.61712578,2022
19410,19410,3,0,0,938,NA,1,1,1,0,4,93.79793406,26.64279338,2022
19411,19411,4,0,0,938,NA,0,2,1,0,5,94.0161584,26.64939169,2022
19412,19412,4,0,0,938,NA,0,2,1,0,5,93.92632724,26.62959545,2022
19413,19413,3,0,0,938,NA,0,1,1,0,3,93.93224004,26.56766078,2022
19414,19414,4,0,0,938,NA,0,2,1,0,5,93.97556692,26.61532154,2022
19415,19415,3,0,0,938,NA,1,1,1,0,4,93.82301146,26.63218053,2022
19416,19416,4,0,0,938,NA,0,2,1,0,5,94.01881614,26.66904273,2022
19417,19417,4,0,0,938,NA,0,2,1,0,5,94.01948565,26.64390551,2022
19418,19418,4,0,0,938,NA,0,2,1,0,6,93.99364567,26.62245384,2022
19419,19419,2,0,0,938,NA,0,1,1,0,3,93.92798826,26.5672612,2022
19420,19420,3,0,0,938,NA,0,1,1,0,4,93.96742239,26.6372174,2022
19421,19421,3,0,0,938,NA,0,2,1,0,5,93.99795839,26.61724351,2022
19422,19422,3,0,0,938,NA,0,2,1,0,4,94.00265777,26.61326925,2022
19423,19423,2,0,0,938,NA,1,1,1,0,3,93.77889095,26.63021557,2022
19424,19424,3,0,0,938,NA,0,2,1,0,5,94.00601634,26.61741072,2022
19425,19425,4,0,0,938,NA,0,2,1,0,5,93.97674636,26.63798624,2022
19426,19426,4,0,0,938,NA,0,1,1,0,5,93.96695131,26.60358795,2022
19427,19427,4,0,0,938,NA,0,1,1,0,5,93.96868744,26.60668209,2022
19428,19428,4,0,0,938,NA,0,2,1,0,6,93.99903225,26.66408855,2022
19429,19429,2,0,0,938,NA,0,1,1,0,3,93.92235302,26.57365892,2022
19430,19430,4,0,0,938,NA,0,2,1,0,5,93.99121012,26.66018771,2022
