District,Total,Relief Camp,Relief Distribution Centres,Date
Darrang,13,"0(Mangaldoi | 0, Patharighat | 0)","13(Mangaldoi | 4, Patharighat | 9)",18-05-2022
Dima-Hasao,4,4(Haflong | 4),0(Haflong | 0),18-05-2022
Biswanath,8,"1(Halem | 1, Biswanath | 0)","7(Halem | 1, Biswanath | 6)",19-05-2022
Cachar,114,"85(Udharbond | 1, Lakhipur | 11, Sonai | 6, Silchar | 35, Katigorah | 32)","29(Udharbond | 0, Lakhipur | 2, Sonai | 0, Silchar | 0, Katigorah | 27)",19-05-2022
Darrang,24,"1(Patharighat | 1, Dalgaon | 0, Mangaldoi | 0)","23(Patharighat | 3, Dalgaon | 14, Mangaldoi | 6)",19-05-2022
Dima-Hasao,6,0(Haflong | 0),6(Haflong | 6),19-05-2022
Hojai,62,"57(Doboka | 11, Hojai | 46, Lanka | 0)","5(Doboka | 0, Hojai | 4, Lanka | 1)",19-05-2022
Kamrup,1,1(Rangia | 1),0(Rangia | 0),19-05-2022
Karbi Anglong West,4,0(Donkamokam | 0),4(Donkamokam | 4),19-05-2022
Karimganj,15,"6(Badarpur | 6, Karimganj | 0)","9(Badarpur | 0, Karimganj | 9)",19-05-2022
Lakhimpur,5,"0(Nowboicha | 0, Bihpuria | 0, North Lakhimpur | 0)","5(Nowboicha | 1, Bihpuria | 2, North Lakhimpur | 2)",19-05-2022
Nagaon,104,"15(Nagaon | 5, Kampur | 10, Raha | 0)","89(Nagaon | 2, Kampur | 52, Raha | 35)",19-05-2022
Sonitpur,4,0(Tezpur | 0),4(Tezpur | 4),19-05-2022
Udalguri,10,"0(Khairabari | 0, Udalguri | 0, Kalaigaon | 0)","10(Khairabari | 2, Udalguri | 2, Kalaigaon | 6)",19-05-2022
Dhemaji,1,0(Dhemaji | 0),1(Dhemaji | 1),19-05-2022
Hailakandi,1,1(Algapur | 1),0(Algapur | 0),19-05-2022
Karimganj,16,"6(Badarpur | 6, Karimganj | 0)","10(Badarpur | 1, Karimganj | 9)",20-05-2022
Biswanath,2,1(Halem | 1),1(Halem | 1),20-05-2022
Cachar,216,"151(Udharbond | 1, Sonai | 6, Katigorah | 62, Silchar | 82, Lakhipur | 0)","65(Udharbond | 3, Sonai | 0, Katigorah | 30, Silchar | 8, Lakhipur | 24)",20-05-2022
Darrang,18,"1(Patharighat | 1, Mangaldoi | 0)","17(Patharighat | 6, Mangaldoi | 11)",20-05-2022
Dima-Hasao,4,2(Haflong | 2),2(Haflong | 2),20-05-2022
Hailakandi,2,0(Algapur | 0),2(Algapur | 2),20-05-2022
Hojai,61,"47(Hojai | 36, Doboka | 11)","14(Hojai | 2, Doboka | 12)",20-05-2022
Karbi Anglong West,2,0(Donkamokam | 0),2(Donkamokam | 2),20-05-2022
Lakhimpur,1,0(Bihpuria | 0),1(Bihpuria | 1),20-05-2022
Morigaon,1,1(Morigaon | 1),0(Morigaon | 0),20-05-2022
Nagaon,36,"25(Kampur | 15, Nagaon | 7, Raha | 3)","11(Kampur | 0, Nagaon | 11, Raha | 0)",20-05-2022
Sonitpur,1,0(Naduar | 0),1(Naduar | 1),20-05-2022
Udalguri,2,0(Udalguri | 0),2(Udalguri | 2),20-05-2022
Darrang,8,"1(Patharighat | 1, Mangaldoi | 0)","7(Patharighat | 5, Mangaldoi | 2)",21-05-2022
Karbi Anglong West,3,0(Donkamokam | 0),3(Donkamokam | 3),21-05-2022
Dima-Hasao,8,8(Haflong | 8),0(Haflong | 0),21-05-2022
Cachar,294,"199(Silchar | 99, Katigorah | 76, Udharbond | 1, Sonai | 23, Lakhipur | 0)","95(Silchar | 10, Katigorah | 38, Udharbond | 6, Sonai | 1, Lakhipur | 40)",21-05-2022
Hailakandi,1,1(Algapur | 1),0(Algapur | 0),21-05-2022
Hojai,34,"33(Hojai | 22, Doboka | 11, Lanka | 0)","1(Hojai | 0, Doboka | 0, Lanka | 1)",21-05-2022
Udalguri,1,0(Udalguri | 0),1(Udalguri | 1),21-05-2022
Karimganj,19,"7(Badarpur | 7, Karimganj | 0)","12(Badarpur | 2, Karimganj | 10)",21-05-2022
Lakhimpur,5,"0(North Lakhimpur | 0, Narayanpur | 0, Bihpuria | 0)","5(North Lakhimpur | 1, Narayanpur | 3, Bihpuria | 1)",21-05-2022
Morigaon,4,1(Morigaon | 1),3(Morigaon | 3),21-05-2022
Nagaon,110,"32(Nagaon | 10, Raha | 7, Kampur | 15)","78(Nagaon | 6, Raha | 45, Kampur | 27)",21-05-2022
Nalbari,2,0(Tihu | 0),2(Tihu | 2),21-05-2022
Sonitpur,6,0(Tezpur | 0),6(Tezpur | 6),21-05-2022
Kamrup,1,0(Rangia | 0),1(Rangia | 1),21-05-2022
Karimganj,22,"7(Badarpur | 7, Karimganj | 0)","15(Badarpur | 5, Karimganj | 10)",22-05-2022
Hojai,22,"22(Hojai | 11, Doboka | 11)","0(Hojai | 0, Doboka | 0)",22-05-2022
Hailakandi,2,0(Algapur | 0),2(Algapur | 2),22-05-2022
Cachar,304,"199(Katigorah | 76, Sonai | 23, Udharbond | 1, Silchar | 99, Lakhipur | 0)","105(Katigorah | 38, Sonai | 1, Udharbond | 7, Silchar | 10, Lakhipur | 49)",22-05-2022
Barpeta,5,0(Sarthebari | 0),5(Sarthebari | 5),22-05-2022
Morigaon,14,1(Morigaon | 1),13(Morigaon | 13),22-05-2022
Darrang,4,0(Mangaldoi | 0),4(Mangaldoi | 4),22-05-2022
Nagaon,48,"40(Nagaon | 18, Raha | 7, Kampur | 15)","8(Nagaon | 8, Raha | 0, Kampur | 0)",22-05-2022
Morigaon,21,3(Morigaon | 3),18(Morigaon | 18),23-05-2022
Karimganj,15,"6(Badarpur | 6, Karimganj | 0)","9(Badarpur | 0, Karimganj | 9)",23-05-2022
Dibrugarh,1,0(Chabua | 0),1(Chabua | 1),23-05-2022
Udalguri,2,0(Udalguri | 0),2(Udalguri | 2),23-05-2022
Karbi Anglong West,2,0(Donkamokam | 0),2(Donkamokam | 2),23-05-2022
Cachar,419,"288(Udharbond | 1, Katigorah | 102, Silchar | 162, Sonai | 23, Lakhipur | 0)","131(Udharbond | 6, Katigorah | 92, Silchar | 9, Sonai | 1, Lakhipur | 23)",23-05-2022
Hojai,14,"14(Doboka | 11, Hojai | 3)","0(Doboka | 0, Hojai | 0)",23-05-2022
Kamrup,3,"0(Rangia | 0, Kayan | 0, Kamalpur | 0)","3(Rangia | 1, Kayan | 1, Kamalpur | 1)",23-05-2022
Barpeta,3,0(Sarthebari | 0),3(Sarthebari | 3),23-05-2022
Nagaon,162,"48(Kampur | 15, Raha | 7, Nagaon | 26)","114(Kampur | 0, Raha | 80, Nagaon | 34)",23-05-2022
Hailakandi,4,3(Algapur | 3),1(Algapur | 1),23-05-2022
Dima-Hasao,10,4(Haflong | 4),6(Haflong | 6),23-05-2022
Barpeta,1,0(Sarthebari | 0),1(Sarthebari | 1),24-05-2022
Nagaon,54,"41(Nagaon | 25, Kampur | 9, Raha | 7)","13(Nagaon | 13, Kampur | 0, Raha | 0)",24-05-2022
Morigaon,15,3(Morigaon | 3),12(Morigaon | 12),24-05-2022
Karimganj,11,"2(Badarpur | 2, Karimganj | 0)","9(Badarpur | 0, Karimganj | 9)",24-05-2022
Kamrup,1,0(Kamalpur | 0),1(Kamalpur | 1),24-05-2022
Karbi Anglong West,1,0(Donkamokam | 0),1(Donkamokam | 1),24-05-2022
Hailakandi,1,1(Algapur | 1),0(Algapur | 0),24-05-2022
Goalpara,2,"0(Balijana | 0, Lakhipur | 0)","2(Balijana | 1, Lakhipur | 1)",24-05-2022
Dima-Hasao,25,11(Haflong | 11),14(Haflong | 14),24-05-2022
Darrang,6,"0(Mangaldoi | 0, Dalgaon | 0)","6(Mangaldoi | 3, Dalgaon | 3)",24-05-2022
Cachar,407,"284(Katigorah | 100, Sonai | 23, Silchar | 161, Udharbond | 0, Lakhipur | 0)","123(Katigorah | 65, Sonai | 27, Silchar | 9, Udharbond | 6, Lakhipur | 16)",24-05-2022
Hojai,4,"4(Hojai | 2, Doboka | 2)","0(Hojai | 0, Doboka | 0)",24-05-2022
Karimganj,4,"1(Badarpur | 1, Karimganj | 0)","3(Badarpur | 0, Karimganj | 3)",25-05-2022
Nagaon,56,"41(Nagaon | 26, Kampur | 8, Raha | 7)","15(Nagaon | 15, Kampur | 0, Raha | 0)",25-05-2022
Karbi Anglong West,2,0(Donkamokam | 0),2(Donkamokam | 2),25-05-2022
Morigaon,20,3(Morigaon | 3),17(Morigaon | 17),25-05-2022
Hojai,2,2(Hojai | 2),0(Hojai | 0),25-05-2022
Hailakandi,1,1(Algapur | 1),0(Algapur | 0),25-05-2022
Dima-Hasao,7,3(Haflong | 3),4(Haflong | 4),25-05-2022
Cachar,329,"259(Sonai | 20, Silchar | 153, Katigorah | 86, Udharbond | 0, Lakhipur | 0)","70(Sonai | 27, Silchar | 14, Katigorah | 7, Udharbond | 6, Lakhipur | 16)",25-05-2022
Kamrup,1,0(Kamalpur | 0),1(Kamalpur | 1),25-05-2022
Nagaon,41,"39(Nagaon | 26, Kampur | 6, Raha | 7)","2(Nagaon | 2, Kampur | 0, Raha | 0)",26-05-2022
Morigaon,10,3(Morigaon | 3),7(Morigaon | 7),26-05-2022
Cachar,308,"251(Sonai | 12, Silchar | 153, Katigorah | 86, Udharbond | 0, Lakhipur | 0)","57(Sonai | 27, Silchar | 1, Katigorah | 7, Udharbond | 6, Lakhipur | 16)",26-05-2022
Hailakandi,1,1(Algapur | 1),0(Algapur | 0),26-05-2022
Karbi Anglong West,1,0(Donkamokam | 0),1(Donkamokam | 1),26-05-2022
Dima-Hasao,4,1(Haflong | 1),3(Haflong | 3),26-05-2022
Nagaon,140,"39(Nagaon | 26, Kampur | 6, Raha | 7)","101(Nagaon | 8, Kampur | 0, Raha | 93)",27-05-2022
Morigaon,5,3(Morigaon | 3),2(Morigaon | 2),27-05-2022
Dima-Hasao,2,1(Haflong | 1),1(Haflong | 1),27-05-2022
Cachar,159,"157(Sonai | 12, Silchar | 59, Katigorah | 86)","2(Sonai | 0, Silchar | 2, Katigorah | 0)",27-05-2022
Hailakandi,1,1(Algapur | 1),0(Algapur | 0),27-05-2022
Cachar,109,"109(Silchar | 49, Sonai | 2, Katigorah | 58)","0(Silchar | 0, Sonai | 0, Katigorah | 0)",28-05-2022
Dima-Hasao,4,0(Haflong | 0),4(Haflong | 4),28-05-2022
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0),28-05-2022
Nagaon,31,"31(Nagaon | 19, Raha | 7, Kampur | 5)","0(Nagaon | 0, Raha | 0, Kampur | 0)",28-05-2022
Hojai,1,0(Hojai | 0),1(Hojai | 1),28-05-2022
Cachar,84,"84(Katigorah | 40, Silchar | 42, Sonai | 2)","0(Katigorah | 0, Silchar | 0, Sonai | 0)",29-05-2022
Dima-Hasao,2,0(Haflong | 0),2(Haflong | 2),29-05-2022
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0),29-05-2022
Nagaon,17,"17(Nagaon | 6, Raha | 7, Kampur | 4)","0(Nagaon | 0, Raha | 0, Kampur | 0)",29-05-2022
Cachar,1,1(Silchar | 1),0(Silchar | 0),01-06-2022
Nagaon,3,"3(Nagaon | 1, Kampur | 2)","0(Nagaon | 0, Kampur | 0)",01-06-2022
Dima-Hasao,5,0(Haflong | 0),5(Haflong | 5),01-06-2022
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0),01-06-2022
Cachar,1,1(Silchar | 1),0(Silchar | 0),02-06-2022
Dima-Hasao,3,0(Haflong | 0),3(Haflong | 3),02-06-2022
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0),02-06-2022
Cachar,1,1(Silchar | 1),0(Silchar | 0),03-06-2022
Dima-Hasao,4,0(Haflong | 0),4(Haflong | 4),03-06-2022
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0),03-06-2022
Nagaon,3,0(Kampur | 0),3(Kampur | 3),04-06-2022
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0),04-06-2022
Cachar,1,1(Silchar | 1),0(Silchar | 0),04-06-2022
Morigaon,1,1(Morigaon | 1),0(Morigaon | 0),05-06-2022
Cachar,1,1(Silchar | 1),0(Silchar | 0),05-06-2022
Cachar,1,1(Silchar | 1),0(Silchar | 0),06-06-2022
Dima-Hasao,6,0(Haflong | 0),6(Haflong | 6),07-06-2022
Cachar,1,1(Silchar | 1),0(Silchar | 0),07-06-2022
Dima-Hasao,6,0(Haflong | 0),6(Haflong | 6),08-06-2022
Cachar,1,1(Silchar | 1),0(Silchar | 0),08-06-2022
Dhemaji,4,0(Gogamukh | 0),4(Gogamukh | 4),09-06-2022
Dima-Hasao,3,0(Haflong | 0),3(Haflong | 3),09-06-2022
Dhemaji,4,0(Gogamukh | 0),4(Gogamukh | 4),13-06-2022
Dima-Hasao,5,0(Haflong | 0),5(Haflong | 5),13-06-2022
Dima-Hasao,3,0(Haflong | 0),3(Haflong | 3),15-06-2022
Dhemaji,1,0(Sissiborgaon | 0),1(Sissiborgaon | 1),15-06-2022
Baksa,1,1(Barama | 1),0(Barama | 0),15-06-2022
Bajali,1,1(Bajali | 1),0(Bajali | 0),15-06-2022
Kamrup (M),8,"3(Guwahati | 1, Dispur | 2)","5(Guwahati | 0, Dispur | 5)",15-06-2022
Kokrajhar,2,2(Kokrajhar | 2),0(Kokrajhar | 0),15-06-2022
Hojai,18,18(Hojai | 18),0(Hojai | 0),16-06-2022
Goalpara,13,"10(Balijana | 7, Lakhipur | 3)","3(Balijana | 0, Lakhipur | 3)",16-06-2022
Dima-Hasao,29,22(Haflong | 22),7(Haflong | 7),16-06-2022
Chirang,9,"1(Bijni | 1, Sidli | 0)","8(Bijni | 0, Sidli | 8)",16-06-2022
Dhubri,11,"11(Chapar | 1, Bilasipara | 7, Athani | 3)","0(Chapar | 0, Bilasipara | 0, Athani | 0)",16-06-2022
Darrang,1,0(Patharighat | 0),1(Patharighat | 1),16-06-2022
Bongaigaon,6,"6(Manikpur | 1, Bongaigaon | 1, Dangtol | 4)","0(Manikpur | 0, Bongaigaon | 0, Dangtol | 0)",16-06-2022
Dibrugarh,1,0(Chabua | 0),1(Chabua | 1),16-06-2022
Kamrup,6,"6(Rangia | 3, Kayan | 3)","0(Rangia | 0, Kayan | 0)",16-06-2022
Tamulpur,15,3(Tamulpur | 3),12(Tamulpur | 12),16-06-2022
Kokrajhar,26,"26(Bhawraguri | 6, Gossaigaon | 9, Kokrajhar | 11)","0(Bhawraguri | 0, Gossaigaon | 0, Kokrajhar | 0)",16-06-2022
Nalbari,14,"14(Ghograpar | 2, Paschim Nalbari | 5, Nalbari | 7)","0(Ghograpar | 0, Paschim Nalbari | 0, Nalbari | 0)",16-06-2022
Udalguri,5,"4(Udalguri | 4, Kalaigaon | 0)","1(Udalguri | 0, Kalaigaon | 1)",16-06-2022
Barpeta,2,2(Barpeta | 2),0(Barpeta | 0),16-06-2022
Bajali,12,12(Bajali | 12),0(Bajali | 0),16-06-2022
Kamrup (M),17,"5(Guwahati | 2, Dispur | 3)","12(Guwahati | 2, Dispur | 10)",16-06-2022
Baksa,11,"10(Baganpara | 1, Barama | 2, Baska | 6, Jalah | 1)","1(Baganpara | 0, Barama | 1, Baska | 0, Jalah | 0)",16-06-2022
Tamulpur,24,"10(Tamulpur | 5, Goreswar | 5)","14(Tamulpur | 7, Goreswar | 7)",17-06-2022
Tinsukia,7,"4(Doomdooma | 4, Tinsukia | 0)","3(Doomdooma | 0, Tinsukia | 3)",17-06-2022
Udalguri,33,"14(Udalguri | 8, Mazbat | 2, Kalaigaon | 4, Khairabari | 0, Harisinga | 0)","19(Udalguri | 0, Mazbat | 0, Kalaigaon | 9, Khairabari | 3, Harisinga | 7)",17-06-2022
Dhemaji,4,"0(Jonai | 0, Dhemaji | 0)","4(Jonai | 2, Dhemaji | 2)",17-06-2022
Nalbari,54,"54(Banekuchi | 12, Paschim Nalbari | 10, Ghograpar | 2, Barbhag | 3, Nalbari | 11, Tihu | 16)","0(Banekuchi | 0, Paschim Nalbari | 0, Ghograpar | 0, Barbhag | 0, Nalbari | 0, Tihu | 0)",17-06-2022
Chirang,19,"1(Bijni | 1, Sidli | 0, Bengtal | 0)","18(Bijni | 7, Sidli | 10, Bengtal | 1)",17-06-2022
Bongaigaon,55,"18(Manikpur | 1, Bongaigaon | 1, Boitamari | 3, Dangtol | 8, Srijangram | 5)","37(Manikpur | 35, Bongaigaon | 2, Boitamari | 0, Dangtol | 0, Srijangram | 0)",17-06-2022
Barpeta,35,"35(Barpeta | 29, Sarthebari | 3, Chenga | 3)","0(Barpeta | 0, Sarthebari | 0, Chenga | 0)",17-06-2022
Baksa,13,"10(Baska | 6, Barama | 3, Jalah | 1, Baganpara | 0)","3(Baska | 0, Barama | 1, Jalah | 0, Baganpara | 2)",17-06-2022
Bajali,30,"29(Bajali | 29, Sarupeta | 0)","1(Bajali | 0, Sarupeta | 1)",17-06-2022
Dhubri,25,"25(Chapar | 3, Athani | 4, Bilasipara | 18)","0(Chapar | 0, Athani | 0, Bilasipara | 0)",17-06-2022
Dima-Hasao,20,20(Haflong | 20),0(Haflong | 0),17-06-2022
Goalpara,35,"23(Balijana | 10, Matia | 3, Lakhipur | 10)","12(Balijana | 2, Matia | 0, Lakhipur | 10)",17-06-2022
Hojai,47,"36(Hojai | 25, Doboka | 11, Lanka | 0)","11(Hojai | 0, Doboka | 6, Lanka | 5)",17-06-2022
Kamrup,16,"16(Rangia | 5, Kayan | 3, North Ghy | 2, Hajo | 6)","0(Rangia | 0, Kayan | 0, North Ghy | 0, Hajo | 0)",17-06-2022
Kamrup (M),24,"5(Guwahati | 2, Dispur | 3)","19(Guwahati | 12, Dispur | 7)",17-06-2022
Karbi Anglong West,4,0(Donkamokam | 0),4(Donkamokam | 4),17-06-2022
Kokrajhar,128,"56(Bagribari | 7, Kokrajhar | 24, Bhawraguri | 6, Gossaigaon | 11, Dotma | 8)","72(Bagribari | 0, Kokrajhar | 27, Bhawraguri | 16, Gossaigaon | 0, Dotma | 29)",17-06-2022
Lakhimpur,7,"0(North Lakhimpur | 0, Subansiri | 0, Kadam | 0)","7(North Lakhimpur | 2, Subansiri | 3, Kadam | 2)",17-06-2022
Nagaon,3,3(Kampur | 3),0(Kampur | 0),17-06-2022
Sonitpur,9,"1(Chariduar | 1, Dhekiajuli | 0)","8(Chariduar | 3, Dhekiajuli | 5)",17-06-2022
Darrang,13,"13(Patharighat | 2, Mangaldoi | 9, Sipajhar | 2)","0(Patharighat | 0, Mangaldoi | 0, Sipajhar | 0)",17-06-2022
Bajali,43,"42(Bajali | 33, Sarupeta | 9)","1(Bajali | 0, Sarupeta | 1)",18-06-2022
Nalbari,81,"74(Ghograpar | 2, Tihu | 18, Nalbari | 16, Banekuchi | 17, Paschim Nalbari | 10, Barbhag | 11)","7(Ghograpar | 3, Tihu | 0, Nalbari | 4, Banekuchi | 0, Paschim Nalbari | 0, Barbhag | 0)",18-06-2022
Kamrup,25,"15(Rangia | 7, Kamalpur | 3, North Ghy | 2, Hajo | 3, Kayan | 0)","10(Rangia | 1, Kamalpur | 0, North Ghy | 2, Hajo | 1, Kayan | 6)",18-06-2022
Hojai,56,"46(Hojai | 34, Doboka | 12, Lanka | 0)","10(Hojai | 0, Doboka | 4, Lanka | 6)",18-06-2022
Goalpara,72,"44(Matia | 3, Balijana | 20, Lakhipur | 21)","28(Matia | 1, Balijana | 6, Lakhipur | 21)",18-06-2022
Karimganj,8,"2(Badarpur | 1, Patherkandi | 1, Karimganj | 0)","6(Badarpur | 0, Patherkandi | 0, Karimganj | 6)",18-06-2022
Kokrajhar,37,"28(Bhawraguri | 1, Gossaigaon | 4, Dotma | 8, Kokrajhar | 6, Bagribari | 9)","9(Bhawraguri | 8, Gossaigaon | 1, Dotma | 0, Kokrajhar | 0, Bagribari | 0)",18-06-2022
Lakhimpur,32,"0(Subansiri | 0, Bihpuria | 0, Dhakuakhana | 0, North Lakhimpur | 0, Kadam | 0, Nowboicha | 0)","32(Subansiri | 10, Bihpuria | 6, Dhakuakhana | 6, North Lakhimpur | 4, Kadam | 1, Nowboicha | 5)",18-06-2022
Nagaon,13,"13(Raha | 2, Kampur | 7, Nagaon | 4)","0(Raha | 0, Kampur | 0, Nagaon | 0)",18-06-2022
Baksa,17,"11(Baska | 6, Baganpara | 1, Barama | 4, Jalah | 0)","6(Baska | 0, Baganpara | 1, Barama | 1, Jalah | 4)",18-06-2022
Sonitpur,52,"2(Chariduar | 1, Dhekiajuli | 1, Thelamara | 0, Tezpur | 0)","50(Chariduar | 21, Dhekiajuli | 11, Thelamara | 17, Tezpur | 1)",18-06-2022
Tamulpur,36,"17(Goreswar | 7, Tamulpur | 10)","19(Goreswar | 11, Tamulpur | 8)",18-06-2022
Tinsukia,4,4(Doomdooma | 4),0(Doomdooma | 0),18-06-2022
Kamrup (M),12,"3(Guwahati | 2, Dispur | 1)","9(Guwahati | 4, Dispur | 5)",18-06-2022
Dima-Hasao,26,25(Haflong | 25),1(Haflong | 1),18-06-2022
Dhemaji,23,"0(Dhemaji | 0, Gogamukh | 0, Sissiborgaon | 0, Jonai | 0)","23(Dhemaji | 2, Gogamukh | 13, Sissiborgaon | 4, Jonai | 4)",18-06-2022
Darrang,43,"16(Dalgaon | 1, Patharighat | 3, Mangaldoi | 9, Sipajhar | 3)","27(Dalgaon | 20, Patharighat | 3, Mangaldoi | 0, Sipajhar | 4)",18-06-2022
Chirang,20,"13(Bijni | 12, Bengtal | 1, Sidli | 0)","7(Bijni | 4, Bengtal | 0, Sidli | 3)",18-06-2022
Udalguri,73,"33(Udalguri | 11, Mazbat | 9, Kalaigaon | 9, Harisinga | 4, Khairabari | 0)","40(Udalguri | 0, Mazbat | 0, Kalaigaon | 30, Harisinga | 5, Khairabari | 5)",18-06-2022
Cachar,4,"3(Silchar | 2, Katigorah | 1)","1(Silchar | 1, Katigorah | 0)",18-06-2022
Bongaigaon,29,"24(Manikpur | 3, Boitamari | 3, Srijangram | 18)","5(Manikpur | 5, Boitamari | 0, Srijangram | 0)",18-06-2022
Barpeta,63,"57(Chenga | 18, Barpeta | 33, Sarthebari | 6)","6(Chenga | 3, Barpeta | 0, Sarthebari | 3)",18-06-2022
Dhubri,42,"42(Bilasipara | 33, Golakganj | 1, Athani | 4, Chapar | 4)","0(Bilasipara | 0, Golakganj | 0, Athani | 0, Chapar | 0)",18-06-2022
Karbi Anglong West,5,0(Donkamokam | 0),5(Donkamokam | 5),18-06-2022
Kamrup (M),5,2(Guwahati | 2),3(Guwahati | 3),20-06-2022
Karbi Anglong West,4,0(Donkamokam | 0),4(Donkamokam | 4),20-06-2022
Karimganj,98,"40(Karimganj | 19, Badarpur | 18, Patherkandi | 3, RK Nagar | 0, Nilambazar | 0)","58(Karimganj | 0, Badarpur | 12, Patherkandi | 8, RK Nagar | 25, Nilambazar | 13)",20-06-2022
Lakhimpur,27,"0(Bihpuria | 0, Dhakuakhana | 0, Nowboicha | 0, Subansiri | 0, North Lakhimpur | 0)","27(Bihpuria | 11, Dhakuakhana | 1, Nowboicha | 4, Subansiri | 6, North Lakhimpur | 5)",20-06-2022
Morigaon,20,"0(Morigaon | 0, Bhuragaon | 0)","20(Morigaon | 5, Bhuragaon | 15)",20-06-2022
Hojai,78,"48(Doboka | 14, Hojai | 34, Lanka | 0)","30(Doboka | 19, Hojai | 6, Lanka | 5)",20-06-2022
Nagaon,127,"50(Nagaon | 22, Raha | 11, Kampur | 17, Samaguri | 0)","77(Nagaon | 25, Raha | 39, Kampur | 8, Samaguri | 5)",20-06-2022
Hailakandi,30,"5(Algapur | 3, Katlicherra | 2, Lala | 0, Hailakandi | 0)","25(Algapur | 1, Katlicherra | 3, Lala | 13, Hailakandi | 8)",20-06-2022
Golaghat,9,0(Bokakhat | 0),9(Bokakhat | 9),20-06-2022
Goalpara,105,"64(Balijana | 28, Matia | 6, Lakhipur | 30)","41(Balijana | 11, Matia | 0, Lakhipur | 30)",20-06-2022
