,Unnamed: 0,animals washed away,District,Total,Big,Small,Poultry,Date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 6
2,2,,Hojai,2,0,2,0,2022-06-25,,,,,,
1,1,,Cachar,4,4,0,0,2022-06-25,,,,,,
0,0,,Barpeta,26,2,24,0,2022-06-25,,,,,,
1,1,,Barpeta,3,0,3,0,2022-06-26,,,,,,
2,2,,Darrang,3,3,0,0,2022-06-26,,,,,,
3,3,,Hojai,2,2,0,0,2022-06-26,,,,,,
4,4,,Nagaon,1,0,1,0,2022-06-26,,,,,,
5,5,,Nalbari,37,0,37,0,2022-06-26,,,,,,
0,0,,Bajali,19,1,18,0,2022-06-26,,,,,,
0,0,,Bajali,2735,0,8,2727,2022-06-27,,,,,,
2,2,,Nalbari,33,10,23,0,2022-06-27,,,,,,
1,1,,Barpeta,6,3,3,0,2022-06-27,,,,,,
0,0,,Bajali,3200,18,70,3112,2022-06-28,,,,,,
5,5,,Nalbari,23,10,13,0,2022-06-28,,,,,,
4,4,,Nagaon,3,0,3,0,2022-06-28,,,,,,
3,3,,Darrang,1069,30,0,1039,2022-06-28,,,,,,
2,2,,Cachar,6,6,0,0,2022-06-28,,,,,,
1,1,,Barpeta,3,2,1,0,2022-06-28,,,,,,
3,3,,Hailakandi,3,2,1,0,2022-06-29,,,,,,
1,1,,Cachar,5,5,0,0,2022-06-29,,,,,,
4,4,,Kamrup,4,3,1,0,2022-06-29,,,,,,
2,2,,Darrang,10,2,8,0,2022-06-29,,,,,,
0,0,,Barpeta,16,6,10,0,2022-06-29,,,,,,
0,0,,Barpeta,22,6,16,0,2022-06-30,,,,,,
1,1,,Darrang,1,1,0,0,2022-06-30,,,,,,
2,2,,Dhemaji,12,0,12,0,2022-06-30,,,,,,
4,4,,Nalbari,11,4,7,0,2022-06-30,,,,,,
3,3,,Nagaon,5,2,3,0,2022-06-30,,,,,,
0,0,,Bajali,15,0,15,0,2022-07-01,,,,,,
1,1,,Barpeta,29,10,19,0,2022-07-01,,,,,,
2,2,,Karimganj,4,4,0,0,2022-07-01,,,,,,
3,3,,Nalbari,747,5,42,700,2022-07-01,,,,,,
0,0,,Barpeta,32661,0,1,32660,2022-07-02,,,,,,
1,1,,Darrang,1000,0,0,1000,2022-07-02,,,,,,
2,2,,Golaghat,1,0,1,0,2022-07-02,,,,,,
3,3,,Karimganj,1,1,0,0,2022-07-02,,,,,,
4,4,,Morigaon,147,0,0,147,2022-07-02,,,,,,
5,5,,Nagaon,285,20,65,200,2022-07-02,,,,,,
6,6,,Nalbari,147,4,43,100,2022-07-02,,,,,,
0,0,,Barpeta,1301,1,0,1300,2022-07-03,,,,,,
1,1,,Morigaon,2,1,1,0,2022-07-03,,,,,,
1,1,,Karimganj,2,2,0,0,2022-07-04,,,,,,
2,2,,Nalbari,1,1,0,0,2022-07-04,,,,,,
0,0,,Barpeta,22,2,20,0,2022-07-04,,,,,,
0,0,,Barpeta,228,2,1,225,2022-07-05,,,,,,
1,1,,Dibrugarh,205,0,0,205,2022-07-05,,,,,,
2,2,,Karimganj,1,1,0,0,2022-07-05,,,,,,
0,0,,Kamrup,10,2,8,0,2022-07-07,,,,,,
1,1,,Morigaon,1,1,0,0,2022-07-07,,,,,,
0,0,,Hailakandi,1951,1,0,1950,2022-07-08,,,,,,
0,0,,Hailakandi,1,1,0,0,2022-07-09,,,,,,
0,0,,Kamrup,1013,21,242,750,2022-07-12,,,,,,
1,1,,Nalbari,37,1,36,0,2022-07-12,,,,,,
0,0,,Karimganj,6,6,0,0,2022-07-14,,,,,,
0,0,,Dhemaji,1,1,0,0,2022-08-01,,,,,,
0,0,,Udalguri,30,0,8,22,2022-08-02,,,,,,
0,0,,Golaghat,80,0,14,66,2022-09-13,,,,,,
